scenario;environment;levy;flood;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_on_flood_pois;13;True;pois;1;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181104348.89584348;2291171.0;0.9648595815070732;17.36722380140231;76.2667938293364;79.04444884115742;0.9648595815070732;6780.0;361.31057401199723;251444.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;2;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181093799.98119146;2291171.0;0.9648595815070732;17.36722380140231;76.26235146280133;79.03984468256252;0.9648595815070732;6780.0;381.81756164499893;251692.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;3;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181132845.89253947;2291171.0;0.9648595815070732;17.36722380140231;76.27879450510713;79.05688658443192;0.9648595815070732;6780.0;362.46347729099944;251716.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;4;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181094285.81074712;2291171.0;0.9648595815070732;17.36722380140231;76.26255605569368;79.04005672677732;0.9648595815070732;6780.0;349.44874566;252604.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;5;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181092979.96215385;2291171.0;0.9648595815070732;17.36722380140231;76.26200613579368;79.03948677866202;0.9648595815070732;6780.0;378.781931497997;251316.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;6;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181108863.83344308;2291171.0;0.9648595815070732;17.36722380140231;76.26869516310977;79.04641942196504;0.9648595815070732;6780.0;357.1392422680001;251540.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;7;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181101029.08469388;2291171.0;0.9648595815070732;17.36722380140231;76.26539578807431;79.04299988289564;0.9648595815070732;6780.0;371.6091923950007;251324.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;8;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181103032.71200186;2291171.0;0.9648595815070732;17.36722380140231;76.26623955704916;79.0438743821399;0.9648595815070732;6780.0;381.7369857829981;251488.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;9;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181104733.45102525;2291171.0;0.9648595815070732;17.36722380140231;76.26695577349147;79.04461668335766;0.9648595815070732;6780.0;335.73766608299775;251520.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;10;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181099752.83334643;2291171.0;0.9648595815070732;17.36722380140231;76.26485833218779;79.04244285273619;0.9648595815070732;6780.0;389.2458077880001;251432.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;11;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181095095.40429047;2291171.0;0.9648595815070732;17.36722380140231;76.26289699230969;79.04041008038705;0.9648595815070732;6780.0;413.3508487979998;251136.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
