scenario;environment;levy;flood;seed;destination_region;node_type;requested;fulfilled;unmet;fulfillment_rate;occupancy_person_hours
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;marketplace;12176.0;12176.0;0.0;1.0;12176.0
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;pharmacy;3048.0;3048.0;0.0;1.0;3048.0
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;restaurant;12176.0;12176.0;0.0;1.0;12176.0
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_off_flood_homes;13;False;homes;0;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_off_flood_homes;13;False;homes;0;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_off_flood_homes;13;False;homes;0;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_off_flood_both;13;False;both;0;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_off_flood_both;13;False;both;0;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_off_flood_both;13;False;both;0;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_off_flood_both;13;False;both;0;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
