scenario;environment;levy;flood;seed;origin_region;destination_region;node_type;trips;travelers;traveler_distance;mean_distance_per_traveler
13_levy_off_flood_homes;13;False;homes;0;Floresta;Floresta;pharmacy;12488.0;17000.0;2902715.1508454476;170.7479500497322
13_levy_off_flood_homes;13;False;homes;0;Floresta;Floresta;restaurant;12848.0;67168.0;10879119.436014492;161.96878626748588
13_levy_off_flood_homes;13;False;homes;0;Floresta;Moinhos de Vento;marketplace;872.0;1984.0;245637.89353684057;123.80942214558496
13_levy_off_flood_homes;13;False;homes;0;Floresta;Moinhos de Vento;restaurant;474.0;2195.0;431006.930615601;196.35851053102553
13_levy_off_flood_homes;13;False;homes;0;Independência;Bom Fim;marketplace;1760.0;5600.0;604468.2085458604;107.9407515260465
13_levy_off_flood_homes;13;False;homes;0;Independência;Bom Fim;restaurant;608.0;1792.0;110139.6235149001;61.46184347929693
13_levy_off_flood_homes;13;False;homes;0;Independência;Independência;marketplace;16424.0;49464.0;2974727.693053384;60.13924658445301
13_levy_off_flood_homes;13;False;homes;0;Independência;Independência;pharmacy;10776.0;13024.0;1124400.6622473951;86.3329746811575
13_levy_off_flood_homes;13;False;homes;0;Independência;Independência;restaurant;10992.0;47872.0;3436838.7629861822;71.79225357173677
13_levy_off_flood_homes;13;False;homes;0;Independência;Moinhos de Vento;marketplace;888.0;3576.0;404916.906722536;113.23179718191723
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Floresta;marketplace;1176.0;3516.0;754394.431169629;214.56041842139618
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Floresta;pharmacy;576.0;576.0;133919.9492150526;232.49991183168854
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Floresta;restaurant;608.0;3216.0;133088.94127899877;41.383377263370264
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Moinhos de Vento;marketplace;20272.0;73176.0;9033275.089117475;123.44587144852787
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Moinhos de Vento;pharmacy;15088.0;20000.0;1951461.2365543074;97.57306182771536
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Moinhos de Vento;restaurant;15334.0;77765.0;9671942.262269631;124.37397623956319
13_levy_off_flood_homes;13;False;homes;0;Moinhos de Vento;Rio Branco;restaurant;1216.0;3296.0;411672.7832192837;124.90072306410306
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;Cidade Baixa;pharmacy;49.0;78.0;9402.086010756197;120.53956424046406
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;Praia de Belas;marketplace;2380.0;4906.0;612235.8558199003;124.79328492048518
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;Praia de Belas;pharmacy;1424.0;1486.0;241997.5902445567;162.85167580387395
13_levy_off_flood_homes;13;False;homes;0;Praia de Belas;Praia de Belas;restaurant;1901.0;5985.0;967947.6451438386;161.7289298485946
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Bom Fim;marketplace;888.0;3672.0;234728.37062239667;63.92384820871369
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Bom Fim;pharmacy;600.0;608.0;87821.59315032564;144.4434097867198
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Independência;marketplace;176.0;400.0;50172.7324710931;125.43183117773275
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Independência;restaurant;560.0;1288.0;148831.54982780194;115.55244551847977
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Moinhos de Vento;marketplace;848.0;1224.0;179733.52448406102;146.84111477455966
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Rio Branco;marketplace;32504.0;117624.0;10889542.289153028;92.57925499177912
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Rio Branco;pharmacy;21008.0;30352.0;2676233.438213734;88.17321554473293
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Rio Branco;restaurant;22496.0;122384.0;12139879.469036844;99.19498847101617
13_levy_off_flood_homes;13;False;homes;0;Rio Branco;Santa Cecília;restaurant;608.0;4336.0;489241.06333760463;112.83234855572063
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Rio Branco;marketplace;888.0;4032.0;404560.51279227977;100.33742876792653
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Rio Branco;pharmacy;416.0;416.0;31947.713939808393;76.79738927838557
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santa Cecília;marketplace;9728.0;37120.0;4287775.819957516;115.51120204626929
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santa Cecília;pharmacy;6160.0;8336.0;781731.6721993885;93.77779177056004
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santa Cecília;restaurant;6080.0;32784.0;2876163.6081735576;87.73071035180446
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santana;marketplace;880.0;2432.0;330813.6980216003;136.02536925230277
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santana;pharmacy;352.0;352.0;57938.64203850458;164.5984148821153
13_levy_off_flood_homes;13;False;homes;0;Santa Cecília;Santana;restaurant;608.0;1400.0;222146.94528599072;158.67638948999337
13_levy_off_flood_homes;13;False;homes;0;Santana;Azenha;marketplace;2584.0;5112.0;455141.2267599813;89.03388629890088
13_levy_off_flood_homes;13;False;homes;0;Santana;Azenha;pharmacy;1064.0;1071.0;155611.20132039106;145.29523932809622
13_levy_off_flood_homes;13;False;homes;0;Santana;Farroupilha;marketplace;888.0;3480.0;317955.52906829724;91.36653134146472
13_levy_off_flood_homes;13;False;homes;0;Santana;Farroupilha;pharmacy;624.0;872.0;74199.94118346996;85.09167566911692
13_levy_off_flood_homes;13;False;homes;0;Santana;Santa Cecília;pharmacy;624.0;952.0;140818.8868188096;147.91899875925378
13_levy_off_flood_homes;13;False;homes;0;Santana;Santana;marketplace;37024.0;134344.0;11866348.048282564;88.32808348927055
13_levy_off_flood_homes;13;False;homes;0;Santana;Santana;pharmacy;25176.0;34264.0;2803090.7915061773;81.8086268826225
13_levy_off_flood_homes;13;False;homes;0;Santana;Santana;restaurant;26144.0;138432.0;11926781.176645048;86.15624405227872
13_levy_off_flood_both;13;False;both;0;Azenha;Azenha;marketplace;25205.0;88161.0;7103496.378062771;80.57413570697668
13_levy_off_flood_both;13;False;both;0;Azenha;Azenha;pharmacy;17488.0;23309.0;1806889.8933544147;77.51897950810479
13_levy_off_flood_both;13;False;both;0;Azenha;Azenha;restaurant;19418.0;93839.0;8707326.209608072;92.79005754119366
13_levy_off_flood_both;13;False;both;0;Azenha;Cidade Baixa;pharmacy;495.0;504.0;37014.41211014045;73.4412938693263
13_levy_off_flood_both;13;False;both;0;Azenha;Cidade Baixa;restaurant;608.0;2120.0;186448.05873387057;87.94719751597668
13_levy_off_flood_both;13;False;both;0;Azenha;Praia de Belas;marketplace;325.0;818.0;1214871.5587507572;1485.1730547075272
13_levy_off_flood_both;13;False;both;0;Azenha;Praia de Belas;pharmacy;8.0;8.0;12283.971560626016;1535.496445078252
13_levy_off_flood_both;13;False;both;0;Azenha;Praia de Belas;restaurant;30.0;99.0;120993.26680113743;1222.1542101124994
13_levy_off_flood_both;13;False;both;0;Azenha;Santana;marketplace;1760.0;5576.0;515558.20757706097;92.46022374050591
13_levy_off_flood_both;13;False;both;0;Azenha;Santana;restaurant;608.0;2520.0;477456.4069522315;189.46682815564742
13_levy_off_flood_both;13;False;both;0;Bom Fim;Bom Fim;marketplace;20256.0;72008.0;4985699.402626022;69.23813191070467
13_levy_off_flood_both;13;False;both;0;Bom Fim;Bom Fim;pharmacy;14488.0;19712.0;1134548.2501926438;57.55622210798721
13_levy_off_flood_both;13;False;both;0;Bom Fim;Bom Fim;restaurant;15200.0;79488.0;4268218.803919038;53.69639195751608
13_levy_off_flood_both;13;False;both;0;Bom Fim;Centro Histórico;marketplace;880.0;2064.0;364248.87745717535;176.47716931064696
13_levy_off_flood_both;13;False;both;0;Bom Fim;Centro Histórico;pharmacy;512.0;512.0;118962.39234437598;232.34842254760935
13_levy_off_flood_both;13;False;both;0;Bom Fim;Farroupilha;marketplace;880.0;2712.0;407738.3428219032;150.345996615746
13_levy_off_flood_both;13;False;both;0;Bom Fim;Independência;marketplace;1736.0;3640.0;246109.61706995836;67.61253216207648
13_levy_off_flood_both;13;False;both;0;Bom Fim;Independência;pharmacy;728.0;728.0;66664.26609695092;91.57179408921829
13_levy_off_flood_both;13;False;both;0;Bom Fim;Independência;restaurant;1216.0;4176.0;230540.7080953485;55.20610826038039
13_levy_off_flood_both;13;False;both;0;Bom Fim;Rio Branco;marketplace;888.0;4024.0;232184.35293112686;57.69988889938541
13_levy_off_flood_both;13;False;both;0;Bom Fim;Rio Branco;pharmacy;616.0;640.0;87129.28496391866;136.1395077561229
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Centro Histórico;marketplace;80530.0;238092.0;13971780.208726818;58.68227495559203
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Centro Histórico;pharmacy;51255.0;59718.0;3483716.514515109;58.33612168048342
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Centro Histórico;restaurant;56579.0;240157.0;14413285.626861831;60.01609624896143
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Cidade Baixa;marketplace;60.0;234.0;26650.85051171574;113.89252355434077
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Cidade Baixa;restaurant;82.0;442.0;64181.54831857347;145.20712289270017
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Floresta;marketplace;888.0;3088.0;294924.1465469989;95.50652414086751
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Independência;marketplace;856.0;1576.0;212786.9884902338;135.01712467654428
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Independência;restaurant;608.0;1744.0;239521.5047359784;137.34031234861146
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Praia de Belas;marketplace;305.0;984.0;724603.4646212913;736.385634777735
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Praia de Belas;pharmacy;207.0;234.0;18755.20008351074;80.15042770731085
13_levy_off_flood_both;13;False;both;0;Centro Histórico;Praia de Belas;restaurant;115.0;519.0;125548.3385242882;241.90431314891754
13_levy_off_flood_both;13;False;both;0;Cidade Baixa;Cidade Baixa;marketplace;30942.0;93757.0;6257463.990688094;66.74129921699813
