scenario;environment;levy;flood;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy
13_levy_on_flood_none;13;True;none;11;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90076728.395866;85.34842561670078;85.34842561670078;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;11;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791303.48946615;78.8098655482084;78.8098655482084;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;11;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829082.4403198;79.42873075641445;79.42873075641445;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;12;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90082890.32440256;85.35426409361622;85.35426409361622;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;12;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20788827.321433123;78.80047958210693;78.80047958210693;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;12;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83828385.9891016;79.4280708632761;79.4280708632761;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;13;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90094539.74151011;85.36530201014791;85.36530201014791;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;13;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791459.81384076;78.81045809898096;78.81045809898096;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;13;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83839576.9359125;79.4386743755093;79.4386743755093;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;14;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90082673.51521133;85.35405866516139;85.35405866516139;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;14;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789829.217265576;78.80427728896494;78.80427728896494;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;14;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829047.7584943;79.42869789510546;79.42869789510546;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;15;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90090384.16114542;85.36136456428407;85.36136456428407;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;15;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789995.887577724;78.80490905622753;78.80490905622753;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;15;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829397.36710194;79.42902915207688;79.42902915207688;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;16;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90074997.92967393;85.34678598604692;85.34678598604692;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;16;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20792030.05278838;78.81261960149642;78.81261960149642;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;16;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83834965.41457622;79.43430492190281;79.43430492190281;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;17;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90076285.21068726;85.34800569517459;85.34800569517459;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;17;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791297.52159022;78.80984292685137;78.80984292685137;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;17;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83835146.04422975;79.43447606995427;79.43447606995427;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;18;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90086695.78077076;85.35786979417355;85.35786979417355;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;18;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20790793.50588928;78.80793244492101;78.80793244492101;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;18;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83835555.69541512;79.43486421775168;79.43486421775168;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;19;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90080145.63335651;85.35166347674485;85.35166347674485;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;19;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791724.499317702;78.81146139475128;78.81146139475128;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;19;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83834449.17785673;79.43381578345341;79.43381578345341;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;20;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90096487.93143322;85.36714793579043;85.36714793579043;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;20;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791603.568494108;78.8110030039653;78.8110030039653;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;20;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83832500.50634387;79.43196940150074;79.43196940150074;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;21;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90171920.34350327;85.43862075374575;85.43862075374575;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;21;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20787957.87433604;78.79718392491752;78.79718392491752;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;21;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83696765.57801658;79.30335946372615;79.30335946372615;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;22;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90083606.27081405;85.35494245860721;85.35494245860721;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;22;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20788681.618577864;78.79992729242299;78.79992729242299;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;22;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83827321.05318178;79.42706182791528;79.42706182791528;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;23;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90085478.49113952;85.3567164024441;85.3567164024441;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;23;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789753.91432551;78.80399185161441;78.80399185161441;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;23;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83827690.37973213;79.42741176779622;79.42741176779622;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;24;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90089705.27219231;85.36072131153337;85.36072131153337;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;24;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791726.028821267;78.81146719236615;78.81146719236615;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;24;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83832274.29755756;79.43175506685385;79.43175506685385;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;25;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90088610.2792722;85.35968379692268;85.35968379692268;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;25;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20793744.522401165;78.81911833399478;78.81911833399478;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;25;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83836277.18100342;79.43554783115731;79.43554783115731;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;26;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90078226.72346203;85.34984529416528;85.34984529416528;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;26;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20788851.75979478;78.80057221622184;78.80057221622184;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;26;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829171.82512113;79.4288154492336;79.4288154492336;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;27;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90085929.03048581;85.35714329210329;85.35714329210329;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;27;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789788.478717953;78.80412286865828;78.80412286865828;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;27;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829354.76073658;79.42898878220257;79.42898878220257;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;28;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90083945.68020672;85.3552640517403;85.3552640517403;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;28;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789255.5696459;78.80210286580761;78.80210286580761;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;28;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829470.4142702;79.42909836485713;79.42909836485713;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;29;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90110672.55016783;85.38058797628182;85.38058797628182;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;29;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20793932.009276528;78.81982900687042;78.81982900687042;263816.0;1.0;685.0
