Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
9;9;0;Cidade Baixa;15379;15377;2;0;0;0;15371;8;0;0;0;0
9;9;0;Farroupilha;958;958;0;0;0;0;958;0;0;0;0;0
9;9;0;Floresta;11595;11594;1;0;0;0;11589;6;0;0;0;0
9;9;0;Independência;8110;8109;1;0;0;0;8106;4;0;0;0;0
9;9;0;Menino Deus;31652;31649;3;0;0;0;31634;18;0;0;0;0
9;9;0;Moinhos de Vento;11938;11937;1;0;0;0;11932;6;0;0;0;0
9;9;0;Praia de Belas;2278;2278;0;0;0;0;2277;1;0;0;0;0
9;9;0;Rio Branco;17533;17531;2;0;0;0;17523;10;0;0;0;0
9;9;0;Santa Cecília;5766;5765;1;0;0;0;5763;3;0;0;0;0
9;9;0;Santana;20725;20722;3;0;0;0;20714;11;0;0;0;0
10;10;0;Azenha;13804;13801;3;1;-1;2;13789;15;0;-7;8;0
10;10;0;Bom Fim;11592;11587;5;0;-3;3;11579;13;0;-7;7;0
10;10;0;Centro;39166;39154;12;6;0;6;39117;49;0;-19;25;0
10;10;0;Cidade Baixa;15379;15375;4;0;-2;2;15362;17;0;-9;9;0
10;10;0;Farroupilha;955;955;0;-3;-3;0;955;0;0;-3;0;0
10;10;0;Floresta;11593;11591;2;-2;-3;1;11580;13;0;-9;7;0
10;10;0;Independência;8109;8106;3;-1;-3;2;8100;9;0;-6;5;0
10;10;0;Menino Deus;31654;31648;6;2;-1;3;31618;36;0;-16;18;0
10;10;0;Moinhos de Vento;11939;11937;2;1;0;1;11926;13;0;-6;7;0
10;10;0;Praia de Belas;2275;2275;0;-3;-3;0;2273;2;0;-4;1;0
10;10;0;Rio Branco;17534;17530;4;1;-1;2;17514;20;0;-9;10;0
10;10;0;Santa Cecília;5764;5762;2;-2;-3;1;5758;6;0;-5;3;0
10;10;0;Santana;20725;20720;5;0;-2;2;20702;23;0;-12;12;0
11;11;0;Azenha;13804;13801;3;0;0;0;13789;15;0;0;0;0
11;11;0;Bom Fim;11592;11587;5;0;0;0;11579;13;0;0;0;0
11;11;0;Centro;39166;39154;12;0;0;0;39117;49;0;0;0;0
11;11;0;Cidade Baixa;15379;15375;4;0;0;0;15362;17;0;0;0;0
11;11;0;Farroupilha;955;955;0;0;0;0;955;0;0;0;0;0
11;11;0;Floresta;11593;11591;2;0;0;0;11580;13;0;0;0;0
11;11;0;Independência;8109;8106;3;0;0;0;8100;9;0;0;0;0
11;11;0;Menino Deus;31654;31648;6;0;0;0;31618;36;0;0;0;0
11;11;0;Moinhos de Vento;11939;11937;2;0;0;0;11926;13;0;0;0;0
11;11;0;Praia de Belas;2275;2275;0;0;0;0;2273;2;0;0;0;0
11;11;0;Rio Branco;17534;17530;4;0;0;0;17514;20;0;0;0;0
11;11;0;Santa Cecília;5764;5762;2;0;0;0;5758;6;0;0;0;0
11;11;0;Santana;20725;20720;5;0;0;0;20702;23;0;0;0;0
12;12;0;Azenha;13805;13800;5;1;-1;2;13782;23;0;-7;8;0
12;12;0;Bom Fim;11592;11584;8;0;-3;3;11572;20;0;-7;7;0
12;12;0;Centro;39172;39154;18;6;0;6;39098;74;0;-19;25;0
12;12;0;Cidade Baixa;15379;15373;6;0;-2;2;15353;26;0;-9;9;0
12;12;0;Farroupilha;952;952;0;-3;-3;0;951;1;0;-4;1;0
12;12;0;Floresta;11591;11588;3;-2;-3;1;11571;20;0;-9;7;0
12;12;0;Independência;8108;8103;5;-1;-3;2;8094;14;0;-6;5;0
12;12;0;Menino Deus;31656;31647;9;2;-1;3;31602;54;0;-16;18;0
12;12;0;Moinhos de Vento;11940;11937;3;1;0;1;11920;20;0;-6;7;0
12;12;0;Praia de Belas;2272;2272;0;-3;-3;0;2269;3;0;-4;1;0
12;12;0;Rio Branco;17535;17529;6;1;-1;2;17505;30;0;-9;10;0
12;12;0;Santa Cecília;5762;5759;3;-2;-3;1;5753;9;0;-5;3;0
12;12;0;Santana;20725;20718;7;0;-2;2;20690;35;0;-12;12;0
13;13;0;Azenha;13805;13800;5;0;0;0;13782;23;0;0;0;0
13;13;0;Bom Fim;11592;11584;8;0;0;0;11572;20;0;0;0;0
13;13;0;Centro;39172;39154;18;0;0;0;39098;74;0;0;0;0
13;13;0;Cidade Baixa;15379;15373;6;0;0;0;15353;26;0;0;0;0
13;13;0;Farroupilha;952;952;0;0;0;0;951;1;0;0;0;0
13;13;0;Floresta;11591;11588;3;0;0;0;11571;20;0;0;0;0
13;13;0;Independência;8108;8103;5;0;0;0;8094;14;0;0;0;0
