Frame;Hour;Vacc0;Vacc1;Vacc2;Vacc3;dI;dR;dV
266;2;149484;41005;0;0;0;0;
267;3;149484;41005;0;0;0;0;
268;4;149484;41005;0;0;0;0;
269;5;149484;41005;0;0;0;0;
270;6;149484;41005;0;0;0;0;
271;7;149484;41005;0;0;0;0;
272;8;149484;41005;0;0;0;0;
273;9;148805;41684;0;0;-679;679;
274;10;148124;42365;0;0;-681;681;
275;11;148124;42365;0;0;0;0;
276;12;147438;43051;0;0;-686;686;
277;13;147438;43051;0;0;0;0;
278;14;147438;43051;0;0;0;0;
279;15;147438;43051;0;0;0;0;
280;16;147438;43051;0;0;0;0;
281;17;147438;43051;0;0;0;0;
282;18;147438;43051;0;0;0;0;
283;19;147438;43051;0;0;0;0;
284;20;147438;43051;0;0;0;0;
285;21;147438;43051;0;0;0;0;
286;22;147438;43051;0;0;0;0;
287;23;147438;43051;0;0;0;0;
288;0;147438;43051;0;0;0;0;
289;1;147438;43051;0;0;0;0;
290;2;147438;43051;0;0;0;0;
291;3;147438;43051;0;0;0;0;
292;4;147438;43051;0;0;0;0;
293;5;147438;43051;0;0;0;0;
294;6;147438;43051;0;0;0;0;
295;7;147438;43051;0;0;0;0;
296;8;147438;43051;0;0;0;0;
297;9;147438;43051;0;0;0;0;
298;10;147438;43051;0;0;0;0;
299;11;147438;43051;0;0;0;0;
300;12;147438;43051;0;0;0;0;
301;13;147438;43051;0;0;0;0;
302;14;147438;43051;0;0;0;0;
303;15;147438;43051;0;0;0;0;
304;16;147438;43051;0;0;0;0;
305;17;147438;43051;0;0;0;0;
306;18;147438;43051;0;0;0;0;
307;19;147438;43051;0;0;0;0;
308;20;147438;43051;0;0;0;0;
309;21;147438;43051;0;0;0;0;
310;22;147438;43051;0;0;0;0;
311;23;147438;43051;0;0;0;0;
312;0;147438;43051;0;0;0;0;
313;1;147438;43051;0;0;0;0;
314;2;147438;43051;0;0;0;0;
315;3;147438;43051;0;0;0;0;
316;4;147438;43051;0;0;0;0;
317;5;147438;43051;0;0;0;0;
318;6;147438;43051;0;0;0;0;
319;7;147438;43051;0;0;0;0;
320;8;147438;43051;0;0;0;0;
321;9;146144;44345;0;0;-1294;1294;
322;10;144847;45642;0;0;-1297;1297;
323;11;144847;45642;0;0;0;0;
324;12;143546;46943;0;0;-1301;1301;
325;13;143546;46943;0;0;0;0;
326;14;143546;46943;0;0;0;0;
327;15;143546;46943;0;0;0;0;
328;16;143546;46943;0;0;0;0;
329;17;143546;46943;0;0;0;0;
330;18;143546;46943;0;0;0;0;
331;19;143546;46943;0;0;0;0;
332;20;143546;46943;0;0;0;0;
333;21;143546;46943;0;0;0;0;
334;22;143546;46943;0;0;0;0;
335;23;143546;46943;0;0;0;0;
336;0;143546;46943;0;0;0;0;
