Frame;Hour;Neighbourhood;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;Total;Locals;Outsiders;
18;18;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
18;18;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
18;18;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
18;18;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
18;18;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
18;18;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
18;18;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
18;18;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
18;18;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
18;18;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
19;19;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
19;19;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
19;19;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
19;19;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
19;19;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
19;19;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
19;19;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
19;19;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
19;19;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
19;19;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
19;19;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
19;19;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
19;19;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
20;20;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
20;20;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
20;20;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
20;20;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
20;20;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
20;20;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
20;20;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
20;20;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
20;20;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
20;20;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
20;20;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
20;20;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
20;20;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
21;21;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
21;21;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
21;21;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
21;21;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
21;21;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
21;21;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
21;21;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
21;21;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
21;21;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
21;21;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
21;21;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
21;21;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
21;21;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
22;22;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
22;22;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
22;22;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
22;22;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
22;22;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
22;22;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
22;22;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
22;22;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
22;22;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
22;22;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
22;22;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
22;22;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
22;22;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
23;23;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
23;23;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
23;23;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
23;23;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
23;23;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
23;23;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
23;23;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
23;23;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
23;23;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
23;23;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
23;23;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
23;23;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
23;23;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
24;0;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
24;0;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
24;0;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
24;0;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
24;0;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
24;0;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
24;0;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
24;0;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
24;0;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
24;0;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
24;0;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
24;0;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
24;0;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
25;1;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
25;1;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
25;1;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
25;1;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
25;1;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
25;1;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
25;1;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
25;1;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
25;1;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
25;1;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
25;1;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
25;1;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
25;1;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
26;2;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
26;2;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
26;2;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
26;2;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
26;2;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
26;2;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
26;2;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
26;2;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
26;2;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
26;2;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
26;2;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
26;2;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
26;2;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
27;3;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
27;3;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
27;3;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
27;3;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
27;3;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
27;3;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
27;3;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
27;3;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
27;3;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
27;3;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
27;3;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
27;3;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
27;3;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
28;4;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
28;4;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
28;4;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
28;4;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
28;4;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
28;4;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
28;4;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
