Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
289;1;12;147438;42363;0;0;0;0
290;2;12;147438;42363;0;0;0;0
291;3;12;147438;42363;0;0;0;0
292;4;12;147438;42363;0;0;0;0
293;5;12;147438;42337;0;0;-26;0
294;6;12;147438;42337;0;0;0;0
295;7;12;147438;42312;0;0;-25;0
296;8;12;147438;42312;0;0;0;0
297;9;12;147438;42284;0;0;-28;0
298;10;12;147438;42284;0;0;0;0
299;11;12;147438;42259;0;0;-25;0
300;12;12;147438;42259;0;0;0;0
301;13;12;147438;42231;0;0;-28;0
302;14;12;147438;42231;0;0;0;0
303;15;12;147438;42200;0;0;-31;0
304;16;12;147438;42200;0;0;0;0
305;17;12;147438;42170;0;0;-30;0
306;18;12;147438;42170;0;0;0;0
307;19;12;147438;42170;0;0;0;0
308;20;12;147438;42170;0;0;0;0
309;21;12;147438;42170;0;0;0;0
310;22;12;147438;42170;0;0;0;0
311;23;12;147438;42170;0;0;0;0
312;0;13;147438;42170;0;0;0;0
313;1;13;147438;42170;0;0;0;0
314;2;13;147438;42170;0;0;0;0
315;3;13;147438;42170;0;0;0;0
316;4;13;147438;42170;0;0;0;0
317;5;13;147438;42141;0;0;-29;0
318;6;13;147438;42141;0;0;0;0
319;7;13;147438;42113;0;0;-28;0
320;8;13;146144;43407;0;-1294;1294;0
321;9;13;146144;43373;0;0;-34;0
322;10;13;144847;44670;0;-1297;1297;0
323;11;13;144847;44635;0;0;-35;0
324;12;13;143546;45936;0;-1301;1301;0
325;13;13;143546;45899;0;0;-37;0
326;14;13;143546;45899;0;0;0;0
327;15;13;143546;45862;0;0;-37;0
328;16;13;143546;45862;0;0;0;0
329;17;13;143546;45824;0;0;-38;0
330;18;13;143546;45824;0;0;0;0
331;19;13;143546;45824;0;0;0;0
332;20;13;143546;45824;0;0;0;0
333;21;13;143546;45824;0;0;0;0
334;22;13;143546;45824;0;0;0;0
335;23;13;143546;45824;0;0;0;0
336;0;14;143546;45824;0;0;0;0
337;1;14;143546;45824;0;0;0;0
338;2;14;143546;45824;0;0;0;0
339;3;14;143546;45824;0;0;0;0
340;4;14;143546;45824;0;0;0;0
341;5;14;143546;45784;0;0;-40;0
342;6;14;143546;45784;0;0;0;0
343;7;14;143546;45745;0;0;-39;0
344;8;14;143457;45834;0;-89;89;0
345;9;14;143457;45795;0;0;-39;0
346;10;14;143361;45891;0;-96;96;0
347;11;14;143361;45850;0;0;-41;0
348;12;14;143262;45949;0;-99;99;0
349;13;14;143262;45910;0;0;-39;0
350;14;14;143262;45910;0;0;0;0
351;15;14;143262;45873;0;0;-37;0
352;16;14;143262;45873;0;0;0;0
353;17;14;143262;45835;0;0;-38;0
354;18;14;143262;45835;0;0;0;0
355;19;14;143262;45835;0;0;0;0
356;20;14;143262;45835;0;0;0;0
357;21;14;143262;45835;0;0;0;0
358;22;14;143262;45835;0;0;0;0
