scenario;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
94_levy_v2_flood_all;levy_occupancy_person_hours;5;308611683.8;56499.9476123651;308541529.84914935;308681837.7508507;True
94_levy_v2_flood_all;levy_temporary_returns;5;46748.2;345.9222455986316;46318.680801462375;47177.71919853762;True
94_levy_v2_flood_all;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all;levy_repatriations;5;16088.6;221.44367229613945;15813.641364479852;16363.558635520149;True
94_levy_v2_flood_all_pt_reroute;pt_fulfillment_rate;5;0.9999993073352034;8.740742725609027e-07;0.9999982220286474;1.0000003926417593;True
94_levy_v2_flood_all_pt_reroute;pt_unmet;5;16.6;20.94755355644186;-9.409823101479077;42.60982310147908;True
94_levy_v2_flood_all_pt_reroute;pt_mean_distance_per_traveler;5;106.04588426330068;0.6164295493576861;105.28048588443427;106.81128264216709;True
94_levy_v2_flood_all_pt_reroute;pt_rerouted_fulfilled;5;1212688.4;20.94755355644186;1212662.3901768983;1212714.4098231015;True
94_levy_v2_flood_all_pt_reroute;levy_fulfillment_rate;5;0.9023690592875141;0.0003561363561728223;0.9019268575956029;0.9028112609794253;True
94_levy_v2_flood_all_pt_reroute;levy_unmet;5;5556421.6;20209.663525155484;5531327.988385002;5581515.211614997;True
94_levy_v2_flood_all_pt_reroute;levy_population_moved;5;51356087.2;20833.936310740704;51330218.45134208;51381955.94865792;True
94_levy_v2_flood_all_pt_reroute;levy_packet_count;5;4185787.2;690.868438995443;4184929.3735318044;4186645.026468196;True
94_levy_v2_flood_all_pt_reroute;levy_actual_blob_fragments;5;4412622.8;5449.791986856012;4405855.989492222;4419389.610507778;True
94_levy_v2_flood_all_pt_reroute;levy_mean_outbound_distance;5;3423.2530218744732;1.225971888974285;3421.730776717124;3424.7752670318223;True
94_levy_v2_flood_all_pt_reroute;levy_occupancy_person_hours;5;308333699.8;127979.20432320244;308174792.62947315;308492606.9705269;True
94_levy_v2_flood_all_pt_reroute;levy_temporary_returns;5;46700.8;514.273954230622;46062.24454581795;47339.355454182056;True
94_levy_v2_flood_all_pt_reroute;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_pt_reroute;levy_repatriations;5;16142.6;314.0633694017817;15752.638821059238;16532.561178940763;True
94_levy_v2_flood_destinations;pt_fulfillment_rate;5;0.9493977070959252;0.0;0.9493977070959252;0.9493977070959252;True
94_levy_v2_flood_destinations;pt_unmet;5;1212705.0;0.0;1212705.0;1212705.0;True
94_levy_v2_flood_destinations;pt_mean_distance_per_traveler;5;88.87701446109129;0.01203922035625756;88.86206579460848;88.8919631275741;True
94_levy_v2_flood_destinations;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations;levy_fulfillment_rate;5;0.9436139349034715;7.385153705943853e-05;0.9435222361086928;0.9437056336982501;True
94_levy_v2_flood_destinations;levy_unmet;5;3209072.4;4178.665552541864;3203883.9014228745;3214260.8985771253;True
94_levy_v2_flood_destinations;levy_population_moved;5;53703436.4;4728.427412998956;53697565.28191316;53709307.518086836;True
94_levy_v2_flood_destinations;levy_packet_count;5;4185787.2;690.868438995443;4184929.3735318044;4186645.026468196;True
94_levy_v2_flood_destinations;levy_actual_blob_fragments;5;4216945.8;791.4838595953805;4215963.042986381;4217928.557013619;True
94_levy_v2_flood_destinations;levy_mean_outbound_distance;5;3505.3180747974975;5.239751309750132;3498.81206423664;3511.824085358355;True
94_levy_v2_flood_destinations;levy_occupancy_person_hours;5;321997598.4;29935.928953349685;321960428.03476584;322034768.7652341;True
94_levy_v2_flood_destinations;levy_temporary_returns;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
