scenario;seed;group;reason;packets;requested;fulfilled;unmet
13_levy_v2_flood_all;4;student;insufficient_population;3393.0;76753.0;28403.0;48350.0
13_levy_v2_flood_all;4;student;origin_disabled;4918.0;118561.0;0.0;118561.0
13_levy_v2_flood_all;4;worker;anticipated_destination_disable;1803.0;19793.0;0.0;19793.0
13_levy_v2_flood_all;4;worker;destination_disabled;33266.0;281643.0;0.0;281643.0
13_levy_v2_flood_all;4;worker;fulfilled;485383.0;4116358.0;4116358.0;0.0
13_levy_v2_flood_all;4;worker;insufficient_population;22776.0;180467.0;19229.0;161238.0
13_levy_v2_flood_all;4;worker;origin_disabled;37044.0;299891.0;0.0;299891.0
13_levy_v2_flood_all_pt_reroute;0;student;anticipated_destination_disable;149.0;3927.0;0.0;3927.0
13_levy_v2_flood_all_pt_reroute;0;student;destination_disabled;3640.0;93138.0;0.0;93138.0
13_levy_v2_flood_all_pt_reroute;0;student;fulfilled;63484.0;1632984.0;1632984.0;0.0
13_levy_v2_flood_all_pt_reroute;0;student;insufficient_population;3689.0;83854.0;34434.0;49420.0
13_levy_v2_flood_all_pt_reroute;0;student;origin_disabled;4918.0;118657.0;0.0;118657.0
13_levy_v2_flood_all_pt_reroute;0;worker;anticipated_destination_disable;1875.0;19438.0;0.0;19438.0
13_levy_v2_flood_all_pt_reroute;0;worker;destination_disabled;33089.0;279683.0;0.0;279683.0
13_levy_v2_flood_all_pt_reroute;0;worker;fulfilled;483657.0;4099466.0;4099466.0;0.0
13_levy_v2_flood_all_pt_reroute;0;worker;insufficient_population;24712.0;199112.0;21420.0;177692.0
13_levy_v2_flood_all_pt_reroute;0;worker;origin_disabled;36995.0;299781.0;0.0;299781.0
13_levy_v2_flood_all_pt_reroute;1;student;anticipated_destination_disable;127.0;3647.0;0.0;3647.0
13_levy_v2_flood_all_pt_reroute;1;student;destination_disabled;3538.0;90126.0;0.0;90126.0
13_levy_v2_flood_all_pt_reroute;1;student;fulfilled;62974.0;1620678.0;1620678.0;0.0
13_levy_v2_flood_all_pt_reroute;1;student;insufficient_population;4211.0;99074.0;40537.0;58537.0
13_levy_v2_flood_all_pt_reroute;1;student;origin_disabled;4918.0;118755.0;0.0;118755.0
13_levy_v2_flood_all_pt_reroute;1;worker;anticipated_destination_disable;1763.0;18747.0;0.0;18747.0
13_levy_v2_flood_all_pt_reroute;1;worker;destination_disabled;33519.0;281689.0;0.0;281689.0
13_levy_v2_flood_all_pt_reroute;1;worker;fulfilled;483324.0;4103160.0;4103160.0;0.0
13_levy_v2_flood_all_pt_reroute;1;worker;insufficient_population;24699.0;194108.0;20575.0;173533.0
13_levy_v2_flood_all_pt_reroute;1;worker;origin_disabled;36967.0;299888.0;0.0;299888.0
13_levy_v2_flood_all_pt_reroute;2;student;anticipated_destination_disable;111.0;3088.0;0.0;3088.0
13_levy_v2_flood_all_pt_reroute;2;student;destination_disabled;3632.0;93210.0;0.0;93210.0
13_levy_v2_flood_all_pt_reroute;2;student;fulfilled;63024.0;1618564.0;1618564.0;0.0
13_levy_v2_flood_all_pt_reroute;2;student;insufficient_population;4083.0;98374.0;42259.0;56115.0
13_levy_v2_flood_all_pt_reroute;2;student;origin_disabled;4918.0;118428.0;0.0;118428.0
13_levy_v2_flood_all_pt_reroute;2;worker;anticipated_destination_disable;1820.0;18848.0;0.0;18848.0
13_levy_v2_flood_all_pt_reroute;2;worker;destination_disabled;33093.0;277549.0;0.0;277549.0
13_levy_v2_flood_all_pt_reroute;2;worker;fulfilled;484039.0;4110492.0;4110492.0;0.0
13_levy_v2_flood_all_pt_reroute;2;worker;insufficient_population;24334.0;191143.0;21454.0;169689.0
13_levy_v2_flood_all_pt_reroute;2;worker;origin_disabled;36930.0;300008.0;0.0;300008.0
13_levy_v2_flood_all_pt_reroute;3;student;anticipated_destination_disable;110.0;3008.0;0.0;3008.0
13_levy_v2_flood_all_pt_reroute;3;student;destination_disabled;3609.0;92285.0;0.0;92285.0
13_levy_v2_flood_all_pt_reroute;3;student;fulfilled;63076.0;1622082.0;1622082.0;0.0
13_levy_v2_flood_all_pt_reroute;3;student;insufficient_population;4167.0;95678.0;38234.0;57444.0
13_levy_v2_flood_all_pt_reroute;3;student;origin_disabled;4918.0;118555.0;0.0;118555.0
13_levy_v2_flood_all_pt_reroute;3;worker;anticipated_destination_disable;1847.0;19002.0;0.0;19002.0
13_levy_v2_flood_all_pt_reroute;3;worker;destination_disabled;33091.0;277497.0;0.0;277497.0
13_levy_v2_flood_all_pt_reroute;3;worker;fulfilled;483759.0;4103113.0;4103113.0;0.0
13_levy_v2_flood_all_pt_reroute;3;worker;insufficient_population;24720.0;198304.0;23720.0;174584.0
13_levy_v2_flood_all_pt_reroute;3;worker;origin_disabled;36967.0;299956.0;0.0;299956.0
13_levy_v2_flood_all_pt_reroute;4;student;anticipated_destination_disable;144.0;3851.0;0.0;3851.0
13_levy_v2_flood_all_pt_reroute;4;student;destination_disabled;3699.0;93505.0;0.0;93505.0
13_levy_v2_flood_all_pt_reroute;4;student;fulfilled;63366.0;1630652.0;1630652.0;0.0
13_levy_v2_flood_all_pt_reroute;4;student;insufficient_population;3865.0;85935.0;34950.0;50985.0
13_levy_v2_flood_all_pt_reroute;4;student;origin_disabled;4918.0;118561.0;0.0;118561.0
13_levy_v2_flood_all_pt_reroute;4;worker;anticipated_destination_disable;1818.0;19685.0;0.0;19685.0
13_levy_v2_flood_all_pt_reroute;4;worker;destination_disabled;33534.0;283992.0;0.0;283992.0
13_levy_v2_flood_all_pt_reroute;4;worker;fulfilled;484765.0;4109538.0;4109538.0;0.0
13_levy_v2_flood_all_pt_reroute;4;worker;insufficient_population;23111.0;185046.0;17561.0;167485.0
13_levy_v2_flood_all_pt_reroute;4;worker;origin_disabled;37044.0;299891.0;0.0;299891.0
94_levy_v2_flood_none;0;student;fulfilled;549012.0;16184992.0;16184992.0;0.0
94_levy_v2_flood_none;0;student;insufficient_population;516.0;25552.0;24696.0;856.0
94_levy_v2_flood_none;0;worker;fulfilled;3636079.0;40702412.0;40702412.0;0.0
94_levy_v2_flood_none;0;worker;insufficient_population;1.0;12.0;11.0;1.0
94_levy_v2_flood_none;1;student;fulfilled;549439.0;16179976.0;16179976.0;0.0
94_levy_v2_flood_none;1;student;insufficient_population;593.0;29392.0;28466.0;926.0
94_levy_v2_flood_none;1;worker;fulfilled;3636300.0;40702338.0;40702338.0;0.0
94_levy_v2_flood_none;1;worker;insufficient_population;4.0;30.0;26.0;4.0
94_levy_v2_flood_none;2;student;fulfilled;548850.0;16187515.0;16187515.0;0.0
94_levy_v2_flood_none;2;student;insufficient_population;454.0;22469.0;21750.0;719.0
94_levy_v2_flood_none;2;worker;fulfilled;3635350.0;40702292.0;40702292.0;0.0
94_levy_v2_flood_none;2;worker;insufficient_population;2.0;20.0;18.0;2.0
94_levy_v2_flood_none;3;student;fulfilled;549388.0;16181824.0;16181824.0;0.0
94_levy_v2_flood_none;3;student;insufficient_population;532.0;26368.0;25504.0;864.0
94_levy_v2_flood_none;3;worker;fulfilled;3636191.0;40706052.0;40706052.0;0.0
94_levy_v2_flood_none;3;worker;insufficient_population;1.0;12.0;11.0;1.0
94_levy_v2_flood_none;4;student;fulfilled;549767.0;16182523.0;16182523.0;0.0
94_levy_v2_flood_none;4;student;insufficient_population;545.0;27013.0;26101.0;912.0
94_levy_v2_flood_none;4;worker;fulfilled;3635905.0;40701698.0;40701698.0;0.0
94_levy_v2_flood_none;4;worker;insufficient_population;7.0;54.0;47.0;7.0
94_levy_v2_flood_destinations;0;student;anticipated_destination_disable;511.0;14409.0;0.0;14409.0
94_levy_v2_flood_destinations;0;student;destination_disabled;30986.0;868391.0;0.0;868391.0
94_levy_v2_flood_destinations;0;student;fulfilled;517591.0;15307134.0;15307134.0;0.0
94_levy_v2_flood_destinations;0;student;insufficient_population;440.0;20610.0;19900.0;710.0
94_levy_v2_flood_destinations;0;worker;anticipated_destination_disable;6169.0;76933.0;0.0;76933.0
94_levy_v2_flood_destinations;0;worker;destination_disabled;209919.0;2244726.0;0.0;2244726.0
94_levy_v2_flood_destinations;0;worker;fulfilled;3419988.0;38380732.0;38380732.0;0.0
94_levy_v2_flood_destinations;0;worker;insufficient_population;4.0;33.0;29.0;4.0
94_levy_v2_flood_destinations;1;student;anticipated_destination_disable;479.0;13487.0;0.0;13487.0
