Frame;Hour;Node;Total;Locals;Outsiders;
22;22;Rio Branco//work;1030;0;1030;
22;22;Rio Branco//school;990;0;990;
22;22;Rio Branco//marketplace;770;20;750;
22;22;Rio Branco//pharmacy;880;10;870;
22;22;Rio Branco//gas_station;1130;0;1130;
22;22;Rio Branco//hospital;1660;210;1450;
22;22;Santa Cecília//home;610;50;560;
22;22;Santa Cecília//work;1270;410;860;
22;22;Santa Cecília//school;810;10;800;
22;22;Santa Cecília//marketplace;850;0;850;
22;22;Santa Cecília//pharmacy;15564;20;15544;
22;22;Santa Cecília//gas_station;640;20;620;
22;22;Santa Cecília//hospital;840;0;840;
22;22;Santana//home;1164;0;1164;
22;22;Santana//work;1660;0;1660;
22;22;Santana//school;1800;20;1780;
22;22;Santana//marketplace;330;0;330;
22;22;Santana//pharmacy;620;0;620;
22;22;Santana//gas_station;2890;1200;1690;
22;22;Santana//hospital;1110;0;1110;
23;23;Azenha//home;490;10;480;
23;23;Azenha//work;720;20;700;
23;23;Azenha//school;600;50;550;
23;23;Azenha//marketplace;500;0;500;
23;23;Azenha//pharmacy;1380;0;1380;
23;23;Azenha//gas_station;1100;0;1100;
23;23;Azenha//hospital;600;0;600;
23;23;Azenha//shopping_mall;330;0;330;
23;23;Bom Fim//home;2303;1183;1120;
23;23;Bom Fim//work;756;0;756;
23;23;Bom Fim//school;940;170;770;
23;23;Bom Fim//marketplace;1100;0;1100;
23;23;Bom Fim//pharmacy;420;0;420;
23;23;Bom Fim//gas_station;1100;70;1030;
23;23;Centro//home;650;90;560;
23;23;Centro//work;800;0;800;
23;23;Centro//school;630;120;510;
23;23;Centro//marketplace;360;20;340;
23;23;Centro//pharmacy;1310;120;1190;
23;23;Centro//gas_station;550;20;530;
23;23;Centro//hospital;660;110;550;
23;23;Centro//shopping_mall;930;0;930;
23;23;Cidade Baixa//home;940;190;750;
23;23;Cidade Baixa//work;2790;20;2770;
23;23;Cidade Baixa//school;660;0;660;
23;23;Cidade Baixa//marketplace;940;10;930;
23;23;Cidade Baixa//pharmacy;640;0;640;
23;23;Cidade Baixa//gas_station;2190;30;2160;
23;23;Farroupilha//home;2020;0;2020;
23;23;Farroupilha//work;1670;10;1660;
23;23;Farroupilha//school;2720;0;2720;
23;23;Farroupilha//marketplace;890;0;890;
23;23;Farroupilha//pharmacy;1011;0;1011;
23;23;Farroupilha//gas_station;680;0;680;
23;23;Farroupilha//hospital;1370;0;1370;
23;23;Floresta//home;6360;130;6230;
23;23;Floresta//work;870;60;810;
23;23;Floresta//school;3470;70;3400;
23;23;Floresta//marketplace;23530;10;23520;
23;23;Floresta//pharmacy;490;0;490;
23;23;Floresta//gas_station;1000;10;990;
23;23;Independência//home;1230;0;1230;
23;23;Independência//work;680;0;680;
23;23;Independência//school;1660;20;1640;
23;23;Independência//marketplace;1140;20;1120;
23;23;Independência//pharmacy;880;0;880;
23;23;Independência//gas_station;950;0;950;
23;23;Independência//hospital;1240;0;1240;
23;23;Independência//shopping_mall;890;0;890;
23;23;Menino Deus//home;1000;0;1000;
23;23;Menino Deus//work;790;0;790;
23;23;Menino Deus//school;620;210;410;
23;23;Menino Deus//marketplace;1861;1030;831;
23;23;Menino Deus//pharmacy;710;10;700;
23;23;Menino Deus//gas_station;520;0;520;
23;23;Menino Deus//hospital;590;10;580;
23;23;Moinhos de Vento//home;1567;487;1080;
23;23;Moinhos de Vento//work;1450;10;1440;
23;23;Moinhos de Vento//school;740;70;670;
23;23;Moinhos de Vento//marketplace;800;40;760;
23;23;Moinhos de Vento//pharmacy;12463;20;12443;
23;23;Moinhos de Vento//gas_station;790;0;790;
23;23;Moinhos de Vento//hospital;690;60;630;
23;23;Moinhos de Vento//shopping_mall;1250;20;1230;
23;23;Praia de Belas//home;31632;120;31512;
23;23;Praia de Belas//work;1210;20;1190;
23;23;Praia de Belas//school;1420;30;1390;
23;23;Praia de Belas//marketplace;1930;0;1930;
23;23;Praia de Belas//pharmacy;390;0;390;
23;23;Praia de Belas//gas_station;1950;550;1400;
23;23;Praia de Belas//stadium;820;40;780;
23;23;Praia de Belas//shopping_mall;6420;60;6360;
23;23;Rio Branco//home;1080;0;1080;
23;23;Rio Branco//work;980;0;980;
23;23;Rio Branco//school;1010;20;990;
23;23;Rio Branco//marketplace;790;20;770;
23;23;Rio Branco//pharmacy;880;0;880;
23;23;Rio Branco//gas_station;1150;10;1140;
23;23;Rio Branco//hospital;1660;210;1450;
23;23;Santa Cecília//home;610;50;560;
23;23;Santa Cecília//work;1290;410;880;
23;23;Santa Cecília//school;820;0;820;
23;23;Santa Cecília//marketplace;710;0;710;
23;23;Santa Cecília//pharmacy;15624;0;15624;
23;23;Santa Cecília//gas_station;660;20;640;
23;23;Santa Cecília//hospital;868;8;860;
23;23;Santana//home;1184;0;1184;
23;23;Santana//work;1650;0;1650;
23;23;Santana//school;1810;20;1790;
23;23;Santana//marketplace;310;0;310;
23;23;Santana//pharmacy;620;0;620;
23;23;Santana//gas_station;2930;1200;1730;
23;23;Santana//hospital;1100;0;1100;
24;0;Azenha//home;13734;13734;0;
24;0;Azenha//work;20;20;0;
24;0;Azenha//school;50;50;0;
24;0;Azenha//marketplace;0;0;0;
24;0;Azenha//pharmacy;0;0;0;
24;0;Azenha//gas_station;0;0;0;
24;0;Azenha//hospital;0;0;0;
24;0;Azenha//shopping_mall;0;0;0;
24;0;Bom Fim//home;11313;11313;0;
24;0;Bom Fim//work;0;0;0;
24;0;Bom Fim//school;180;180;0;
24;0;Bom Fim//marketplace;30;30;0;
24;0;Bom Fim//pharmacy;0;0;0;
24;0;Bom Fim//gas_station;70;70;0;
24;0;Centro//home;38954;38954;0;
24;0;Centro//work;0;0;0;
24;0;Centro//school;10;10;0;
24;0;Centro//marketplace;20;20;0;
24;0;Centro//pharmacy;130;130;0;
24;0;Centro//gas_station;10;10;0;
24;0;Centro//hospital;0;0;0;
24;0;Centro//shopping_mall;30;30;0;
24;0;Cidade Baixa//home;15319;15319;0;
24;0;Cidade Baixa//work;20;20;0;
24;0;Cidade Baixa//school;10;10;0;
24;0;Cidade Baixa//marketplace;0;0;0;
24;0;Cidade Baixa//pharmacy;0;0;0;
24;0;Cidade Baixa//gas_station;30;30;0;
24;0;Farroupilha//home;951;951;0;
24;0;Farroupilha//work;10;10;0;
24;0;Farroupilha//school;0;0;0;
24;0;Farroupilha//marketplace;0;0;0;
24;0;Farroupilha//pharmacy;0;0;0;
24;0;Farroupilha//gas_station;0;0;0;
24;0;Farroupilha//hospital;0;0;0;
24;0;Floresta//home;11426;11426;0;
24;0;Floresta//work;60;60;0;
24;0;Floresta//school;70;70;0;
24;0;Floresta//marketplace;30;30;0;
24;0;Floresta//pharmacy;0;0;0;
24;0;Floresta//gas_station;10;10;0;
24;0;Independência//home;8072;8072;0;
24;0;Independência//work;0;0;0;
24;0;Independência//school;20;20;0;
24;0;Independência//marketplace;20;20;0;
24;0;Independência//pharmacy;0;0;0;
24;0;Independência//gas_station;0;0;0;
24;0;Independência//hospital;0;0;0;
24;0;Independência//shopping_mall;0;0;0;
24;0;Menino Deus//home;30380;30380;0;
24;0;Menino Deus//work;0;0;0;
24;0;Menino Deus//school;220;220;0;
24;0;Menino Deus//marketplace;1040;1040;0;
24;0;Menino Deus//pharmacy;10;10;0;
24;0;Menino Deus//gas_station;0;0;0;
24;0;Menino Deus//hospital;0;0;0;
24;0;Moinhos de Vento//home;11717;11717;0;
24;0;Moinhos de Vento//work;10;10;0;
24;0;Moinhos de Vento//school;70;70;0;
24;0;Moinhos de Vento//marketplace;40;40;0;
24;0;Moinhos de Vento//pharmacy;20;20;0;
24;0;Moinhos de Vento//gas_station;0;0;0;
24;0;Moinhos de Vento//hospital;60;60;0;
24;0;Moinhos de Vento//shopping_mall;20;20;0;
24;0;Praia de Belas//home;2131;2131;0;
24;0;Praia de Belas//work;20;20;0;
24;0;Praia de Belas//school;30;30;0;
24;0;Praia de Belas//marketplace;30;30;0;
24;0;Praia de Belas//pharmacy;20;20;0;
24;0;Praia de Belas//gas_station;0;0;0;
24;0;Praia de Belas//stadium;50;50;0;
24;0;Praia de Belas//shopping_mall;0;0;0;
24;0;Rio Branco//home;17451;17451;0;
24;0;Rio Branco//work;20;20;0;
24;0;Rio Branco//school;30;30;0;
24;0;Rio Branco//marketplace;0;0;0;
24;0;Rio Branco//pharmacy;10;10;0;
24;0;Rio Branco//gas_station;20;20;0;
24;0;Rio Branco//hospital;0;0;0;
24;0;Santa Cecília//home;5310;5310;0;
24;0;Santa Cecília//work;420;420;0;
24;0;Santa Cecília//school;10;10;0;
24;0;Santa Cecília//marketplace;0;0;0;
24;0;Santa Cecília//pharmacy;0;0;0;
24;0;Santa Cecília//gas_station;20;20;0;
24;0;Santa Cecília//hospital;8;8;0;
24;0;Santana//home;19483;19483;0;
24;0;Santana//work;10;10;0;
24;0;Santana//school;20;20;0;
24;0;Santana//marketplace;0;0;0;
24;0;Santana//pharmacy;0;0;0;
