;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
96;0;Menino Deus;Floresta;650;100;213;125;250;400
97;0;Menino Deus;Independência;750;50;345;185;100;650
98;0;Menino Deus;Menino Deus;15100;1700;5316;2834;5300;9800
99;0;Menino Deus;Moinhos de Vento;1500;350;501;247;700;800
100;0;Menino Deus;Praia de Belas;2900;100;1245;687;500;2400
101;0;Menino Deus;Rio Branco;1600;100;719;307;450;1150
102;0;Menino Deus;Santa Cecília;2800;100;1442;730;200;2600
103;0;Menino Deus;Santana;2050;300;645;301;950;1100
104;0;Moinhos de Vento;Azenha;400;50;150;79;100;300
105;0;Moinhos de Vento;Bom Fim;1500;200;494;386;400;1100
106;0;Moinhos de Vento;Centro Histórico;1250;100;458;233;350;900
107;0;Moinhos de Vento;Cidade Baixa;700;50;222;118;250;450
108;0;Moinhos de Vento;Farroupilha;400;100;95;75;200;200
109;0;Moinhos de Vento;Floresta;2850;300;1153;697;700;2150
110;0;Moinhos de Vento;Independência;950;200;310;246;300;650
111;0;Moinhos de Vento;Menino Deus;1500;350;501;247;700;800
112;0;Moinhos de Vento;Moinhos de Vento;5700;600;2054;1718;1200;4500
113;0;Moinhos de Vento;Praia de Belas;500;50;229;109;150;350
114;0;Moinhos de Vento;Rio Branco;2050;350;676;320;1000;1050
115;0;Moinhos de Vento;Santa Cecília;950;150;290;173;400;550
116;0;Moinhos de Vento;Santana;850;150;304;171;250;600
117;0;Praia de Belas;Azenha;650;100;228;93;300;350
118;0;Praia de Belas;Bom Fim;550;0;208;112;100;450
119;0;Praia de Belas;Centro Histórico;2200;0;1046;462;200;2000
120;0;Praia de Belas;Cidade Baixa;1050;150;260;98;650;400
121;0;Praia de Belas;Farroupilha;300;0;101;55;100;200
122;0;Praia de Belas;Floresta;450;50;178;81;100;350
123;0;Praia de Belas;Independência;300;50;87;59;100;200
124;0;Praia de Belas;Menino Deus;2900;100;1245;687;500;2400
125;0;Praia de Belas;Moinhos de Vento;500;50;229;109;150;350
126;0;Praia de Belas;Praia de Belas;200;0;96;46;0;200
127;0;Praia de Belas;Rio Branco;850;100;331;183;200;650
128;0;Praia de Belas;Santa Cecília;250;0;144;58;0;250
129;0;Praia de Belas;Santana;1550;100;574;314;450;1100
130;0;Rio Branco;Azenha;750;150;245;125;300;450
131;0;Rio Branco;Bom Fim;4050;350;1689;867;900;3150
132;0;Rio Branco;Centro Histórico;1750;200;556;242;750;1000
133;0;Rio Branco;Cidade Baixa;1750;250;698;333;450;1300
134;0;Rio Branco;Farroupilha;1450;350;424;171;850;600
135;0;Rio Branco;Floresta;2050;150;606;315;900;1150
136;0;Rio Branco;Independência;2200;200;992;500;450;1750
137;0;Rio Branco;Menino Deus;1600;100;719;307;450;1150
138;0;Rio Branco;Moinhos de Vento;2050;350;676;320;1000;1050
139;0;Rio Branco;Praia de Belas;850;100;331;183;200;650
140;0;Rio Branco;Rio Branco;2300;300;686;346;1000;1300
141;0;Rio Branco;Santa Cecília;2150;100;1069;482;400;1750
142;0;Rio Branco;Santana;1200;200;440;263;350;850
143;0;Santa Cecília;Azenha;500;150;123;64;250;250
144;0;Santa Cecília;Bom Fim;1300;50;614;312;150;1150
145;0;Santa Cecília;Centro Histórico;1900;150;770;362;400;1500
146;0;Santa Cecília;Cidade Baixa;700;50;329;173;50;650
147;0;Santa Cecília;Farroupilha;250;100;36;42;150;100
148;0;Santa Cecília;Floresta;600;150;155;86;300;300
149;0;Santa Cecília;Independência;550;50;191;84;250;300
150;0;Santa Cecília;Menino Deus;2800;100;1442;730;200;2600
151;0;Santa Cecília;Moinhos de Vento;950;150;290;173;400;550
152;0;Santa Cecília;Praia de Belas;250;0;144;58;0;250
153;0;Santa Cecília;Rio Branco;2150;100;1069;482;400;1750
154;0;Santa Cecília;Santa Cecília;2600;0;1280;654;300;2300
155;0;Santa Cecília;Santana;2400;150;818;381;950;1450
156;0;Santana;Azenha;4050;450;1348;580;1750;2300
157;0;Santana;Bom Fim;2050;550;601;313;950;1100
158;0;Santana;Centro Histórico;1550;200;636;241;550;1000
159;0;Santana;Cidade Baixa;950;50;425;189;100;850
160;0;Santana;Farroupilha;1050;250;179;100;700;350
161;0;Santana;Floresta;1550;350;455;231;700;850
162;0;Santana;Independência;1450;100;608;351;250;1200
163;0;Santana;Menino Deus;2050;300;645;301;950;1100
164;0;Santana;Moinhos de Vento;850;150;304;171;250;600
165;0;Santana;Praia de Belas;1550;100;574;314;450;1100
166;0;Santana;Rio Branco;1200;200;440;263;350;850
167;0;Santana;Santa Cecília;2400;150;818;381;950;1450
168;0;Santana;Santana;12000;1200;4794;2356;3200;8800
