;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
1871;0;Chapéu do Sol;Teresópolis;0;0;0;0;0;0
1872;0;Chapéu do Sol;Tristeza;250;0;184;49;0;250
1873;0;Chapéu do Sol;Três Figueiras;0;0;0;0;0;0
1874;0;Chapéu do Sol;Vila Assunção;0;0;0;0;0;0
1875;0;Chapéu do Sol;Vila Conceição;0;0;0;0;0;0
1876;0;Chapéu do Sol;Vila Ipiranga;0;0;0;0;0;0
1877;0;Chapéu do Sol;Vila Jardim;0;0;0;0;0;0
1878;0;Chapéu do Sol;Vila João Pessoa;0;0;0;0;0;0
1879;0;Chapéu do Sol;Vila Nova;0;0;0;0;0;0
1880;0;Chácara das Pedras;Aberta dos Morros;0;0;0;0;0;0
1881;0;Chácara das Pedras;Agronomia;0;0;0;0;0;0
1882;0;Chácara das Pedras;Anchieta;0;0;0;0;0;0
1883;0;Chácara das Pedras;Arquipélago;0;0;0;0;0;0
1884;0;Chácara das Pedras;Auxiliadora;0;0;0;0;0;0
1885;0;Chácara das Pedras;Azenha;194;0;113;52;0;194
1886;0;Chácara das Pedras;Bela Vista;0;0;0;0;0;0
1887;0;Chácara das Pedras;Belém Novo;0;0;0;0;0;0
1888;0;Chácara das Pedras;Belém Velho;0;0;0;0;0;0
1889;0;Chácara das Pedras;Boa Vista;499;249;139;84;249;250
1890;0;Chácara das Pedras;Boa Vista do Sul;0;0;0;0;0;0
1891;0;Chácara das Pedras;Bom Fim;0;0;0;0;0;0
1892;0;Chácara das Pedras;Bom Jesus;1442;249;672;210;249;1193
1893;0;Chácara das Pedras;Camaquã;0;0;0;0;0;0
1894;0;Chácara das Pedras;Campo Novo;0;0;0;0;0;0
1895;0;Chácara das Pedras;Cascata;0;0;0;0;0;0
1896;0;Chácara das Pedras;Cavalhada;0;0;0;0;0;0
1897;0;Chácara das Pedras;Cel. Aparício Borges;0;0;0;0;0;0
1898;0;Chácara das Pedras;Centro Histórico;0;0;0;0;0;0
1899;0;Chácara das Pedras;Chapéu do Sol;0;0;0;0;0;0
1900;0;Chácara das Pedras;Chácara das Pedras;2642;0;1491;669;0;2642
1901;0;Chácara das Pedras;Cidade Baixa;992;250;145;58;742;250
1902;0;Chácara das Pedras;Costa e Silva;205;0;122;20;0;205
1903;0;Chácara das Pedras;Cristal;250;0;133;59;0;250
1904;0;Chácara das Pedras;Cristo Redentor;0;0;0;0;0;0
1905;0;Chácara das Pedras;Espírito Santo;0;0;0;0;0;0
1906;0;Chácara das Pedras;Extrema;0;0;0;0;0;0
1907;0;Chácara das Pedras;Farrapos;3219;382;1571;694;484;2132
1908;0;Chácara das Pedras;Farroupilha;0;0;0;0;0;0
1909;0;Chácara das Pedras;Floresta;0;0;0;0;0;0
1910;0;Chácara das Pedras;Glória;194;0;112;33;0;194
1911;0;Chácara das Pedras;Guarujá;0;0;0;0;0;0
1912;0;Chácara das Pedras;Higienópolis;0;0;0;0;0;0
1913;0;Chácara das Pedras;Humaitá;455;250;120;34;250;205
1914;0;Chácara das Pedras;Hípica;0;0;0;0;0;0
1915;0;Chácara das Pedras;Independência;0;0;0;0;0;0
1916;0;Chácara das Pedras;Ipanema;0;0;0;0;0;0
1917;0;Chácara das Pedras;Jardim Botânico;250;250;0;0;250;0
1918;0;Chácara das Pedras;Jardim Carvalho;0;0;0;0;0;0
1919;0;Chácara das Pedras;Jardim Europa;0;0;0;0;0;0
1920;0;Chácara das Pedras;Jardim Floresta;0;0;0;0;0;0
1921;0;Chácara das Pedras;Jardim Isabel;0;0;0;0;0;0
1922;0;Chácara das Pedras;Jardim Itú;455;0;291;91;0;455
1923;0;Chácara das Pedras;Jardim Leopoldina;0;0;0;0;0;0
1924;0;Chácara das Pedras;Jardim Lindóia;162;0;101;49;0;162
1925;0;Chácara das Pedras;Jardim Sabará;494;244;142;68;244;250
1926;0;Chácara das Pedras;Jardim São Pedro;0;0;0;0;0;0
1927;0;Chácara das Pedras;Jardim do Salso;250;0;125;75;0;250
1928;0;Chácara das Pedras;Lageado;0;0;0;0;0;0
1929;0;Chácara das Pedras;Lami;0;0;0;0;0;0
1930;0;Chácara das Pedras;Lomba do Pinheiro;492;243;0;0;492;0
1931;0;Chácara das Pedras;Medianeira;0;0;0;0;0;0
1932;0;Chácara das Pedras;Menino Deus;194;0;102;51;0;194
1933;0;Chácara das Pedras;Moinhos de Vento;0;0;0;0;0;0
1934;0;Chácara das Pedras;Mont'Serrat;0;0;0;0;0;0
1935;0;Chácara das Pedras;Morro Santana;0;0;0;0;0;0
1936;0;Chácara das Pedras;Mário Quintana;250;250;0;0;250;0
1937;0;Chácara das Pedras;Navegantes;250;250;0;0;250;0
1938;0;Chácara das Pedras;Nonoai;244;0;0;0;244;0
1939;0;Chácara das Pedras;Parque Santa Fé;0;0;0;0;0;0
1940;0;Chácara das Pedras;Partenon;201;0;0;0;201;0
1941;0;Chácara das Pedras;Passo D'Areia;410;0;156;138;0;410
1942;0;Chácara das Pedras;Passo das Pedras;249;249;0;0;249;0
1943;0;Chácara das Pedras;Pedra Redonda;0;0;0;0;0;0
1944;0;Chácara das Pedras;Petrópolis;454;249;97;61;249;205
1945;0;Chácara das Pedras;Pitinga;0;0;0;0;0;0
1946;0;Chácara das Pedras;Ponta Grossa;0;0;0;0;0;0
1947;0;Chácara das Pedras;Praia de Belas;0;0;0;0;0;0
1948;0;Chácara das Pedras;Restinga;373;0;215;58;0;373
1949;0;Chácara das Pedras;Rio Branco;0;0;0;0;0;0
1950;0;Chácara das Pedras;Rubem Berta;398;0;175;153;0;398
1951;0;Chácara das Pedras;Santa Cecília;250;0;128;63;0;250
1952;0;Chácara das Pedras;Santa Maria Goretti;0;0;0;0;0;0
1953;0;Chácara das Pedras;Santa Rosa de Lima;0;0;0;0;0;0
1954;0;Chácara das Pedras;Santa Tereza;0;0;0;0;0;0
1955;0;Chácara das Pedras;Santana;492;250;0;0;492;0
1956;0;Chácara das Pedras;Santo Antônio;0;0;0;0;0;0
1957;0;Chácara das Pedras;Sarandi;250;0;151;53;0;250
1958;0;Chácara das Pedras;Serraria;0;0;0;0;0;0
1959;0;Chácara das Pedras;São Caetano;0;0;0;0;0;0
1960;0;Chácara das Pedras;São Geraldo;0;0;0;0;0;0
1961;0;Chácara das Pedras;São José;430;0;131;35;250;180
1962;0;Chácara das Pedras;São João;0;0;0;0;0;0
1963;0;Chácara das Pedras;São Sebastião;0;0;0;0;0;0
1964;0;Chácara das Pedras;Sétimo Céu;0;0;0;0;0;0
1965;0;Chácara das Pedras;Teresópolis;0;0;0;0;0;0
1966;0;Chácara das Pedras;Tristeza;0;0;0;0;0;0
1967;0;Chácara das Pedras;Três Figueiras;892;244;322;157;244;648
1968;0;Chácara das Pedras;Vila Assunção;0;0;0;0;0;0
1969;0;Chácara das Pedras;Vila Conceição;0;0;0;0;0;0
1970;0;Chácara das Pedras;Vila Ipiranga;398;0;224;109;0;398
1971;0;Chácara das Pedras;Vila Jardim;1444;0;657;326;250;1194
1972;0;Chácara das Pedras;Vila João Pessoa;0;0;0;0;0;0
1973;0;Chácara das Pedras;Vila Nova;0;0;0;0;0;0
1974;0;Cidade Baixa;Aberta dos Morros;0;0;0;0;0;0
1975;0;Cidade Baixa;Agronomia;0;0;0;0;0;0
