;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
211;Anchieta;Cristal;248;248;0;0;248;0
212;Anchieta;Cristo Redentor;250;0;0;0;250;0
213;Anchieta;Espírito Santo;0;0;0;0;0;0
214;Anchieta;Extrema;0;0;0;0;0;0
215;Anchieta;Farrapos;1475;291;345;96;753;548
216;Anchieta;Farroupilha;0;0;0;0;0;0
217;Anchieta;Floresta;0;0;0;0;0;0
218;Anchieta;Glória;194;0;101;55;0;194
219;Anchieta;Guarujá;0;0;0;0;0;0
220;Anchieta;Higienópolis;0;0;0;0;0;0
221;Anchieta;Humaitá;229;0;0;0;229;0
222;Anchieta;Hípica;0;0;0;0;0;0
223;Anchieta;Independência;0;0;0;0;0;0
224;Anchieta;Ipanema;0;0;0;0;0;0
225;Anchieta;Jardim Botânico;0;0;0;0;0;0
226;Anchieta;Jardim Carvalho;480;0;0;0;480;0
227;Anchieta;Jardim Europa;250;0;141;34;0;250
228;Anchieta;Jardim Floresta;0;0;0;0;0;0
229;Anchieta;Jardim Isabel;0;0;0;0;0;0
230;Anchieta;Jardim Itú;0;0;0;0;0;0
231;Anchieta;Jardim Leopoldina;0;0;0;0;0;0
232;Anchieta;Jardim Lindóia;248;248;0;0;248;0
233;Anchieta;Jardim Sabará;0;0;0;0;0;0
234;Anchieta;Jardim São Pedro;500;0;266;68;0;500
235;Anchieta;Jardim do Salso;0;0;0;0;0;0
236;Anchieta;Lageado;0;0;0;0;0;0
237;Anchieta;Lami;0;0;0;0;0;0
238;Anchieta;Lomba do Pinheiro;1140;0;428;80;478;662
239;Anchieta;Medianeira;250;250;0;0;250;0
240;Anchieta;Menino Deus;0;0;0;0;0;0
241;Anchieta;Moinhos de Vento;0;0;0;0;0;0
242;Anchieta;Mont'Serrat;0;0;0;0;0;0
243;Anchieta;Morro Santana;0;0;0;0;0;0
244;Anchieta;Mário Quintana;180;0;115;21;0;180
245;Anchieta;Navegantes;0;0;0;0;0;0
246;Anchieta;Nonoai;0;0;0;0;0;0
247;Anchieta;Parque Santa Fé;0;0;0;0;0;0
248;Anchieta;Partenon;0;0;0;0;0;0
249;Anchieta;Passo D'Areia;248;0;0;0;248;0
250;Anchieta;Passo das Pedras;248;248;0;0;248;0
251;Anchieta;Pedra Redonda;0;0;0;0;0;0
252;Anchieta;Petrópolis;230;0;0;0;230;0
253;Anchieta;Pitinga;0;0;0;0;0;0
254;Anchieta;Ponta Grossa;0;0;0;0;0;0
255;Anchieta;Praia de Belas;0;0;0;0;0;0
256;Anchieta;Restinga;0;0;0;0;0;0
257;Anchieta;Rio Branco;0;0;0;0;0;0
258;Anchieta;Rubem Berta;0;0;0;0;0;0
259;Anchieta;Santa Cecília;0;0;0;0;0;0
260;Anchieta;Santa Maria Goretti;480;0;139;24;230;250
261;Anchieta;Santa Rosa de Lima;0;0;0;0;0;0
