distance;frequency
2381.0558527883727;8
2383.664926164282;7
2387.4993397127573;11
2390.00576462748;4
2391.5837728462457;12
2397.414838902652;2
2398.4406279759987;7
2415.042632588074;27
2421.291031871244;5
2451.895998822953;6
2466.467240311395;38
2474.067039294247;5
2482.587500677403;3
2483.9399498725725;29
2523.625656469705;15
2557.880995372241;23
2574.452081901556;6
2578.5986792278513;42
2597.496407445547;3
2617.112138027252;4
2628.927696775612;10
2630.332299789633;16
2635.949324179472;12
2658.598801600172;9
2678.939647651738;217
2684.2195947955693;8
2689.0924122805436;6
2710.1552369496912;48
2729.0524596983814;3
2731.247624032317;15
2732.5748980860544;4
2746.656674870175;13
2748.800719487616;2
2750.3063799109514;32
2750.8649793479526;8
2762.130477564679;10
2769.1389836507724;8
2777.7304266096994;7
2782.926830834655;8
2821.732828506659;190
2827.0116742558043;14
2847.879652928001;12
2853.8429529725636;5
2858.430127360123;10
2865.5868994032217;15
2874.70244597169;8
2892.9211194966847;5
2904.6667795427234;9
2913.780623885313;2
2948.0425630751542;4
2954.3771454175962;41
2994.583283243279;8
3018.9759693285073;4
3044.3841758684666;27
3053.6325267003426;9
3063.0627051063034;11
3066.2063198393116;31
3094.2891276867886;15
3103.5367028693395;11
3133.9140636068914;2
3168.5505508621245;19
3240.1206639038596;6
3282.3039862773376;11
3303.0676535854636;8
3316.716472516772;2
3327.5237326929187;18
3345.6396668415814;10
3347.322903112035;14
3352.391906443672;5
3360.1973537705485;1
3367.910324215989;6
3370.994877234514;12
3374.381926617997;8
3381.946441673242;308
3396.669078255429;5
3398.856355156475;13
3423.15237057213;27
3435.5497668774133;9
3497.484323739499;11
3503.741593003747;3
3508.093111158288;4
3514.6483655233665;5
3583.9936243596208;40
3633.9733280877035;1
3659.087036893206;17
3743.7193431773917;39
3755.283058462852;127
3795.4028175578796;10
3799.6502569092804;1
3800.951686548206;2
3814.7254530662008;143
3814.8559372124187;14
3847.6613862101935;6
3848.486591611186;20
3860.7793257770936;35
3922.9259404114737;6
3961.1618209972116;1
4108.769836755997;117
4113.400536877231;28
4113.805937416744;11
4125.414643574993;2
4144.0537221313525;2
4319.728376160015;129
4368.059596662437;6
4466.707425812731;18
4492.0981796304095;2
4616.726619311362;68
4739.506386220381;25
4830.014062738714;20
4852.164781567429;22
5080.8412245237605;22
5401.144931421522;3
5450.454269062627;1
5543.082779536769;5
5673.467938284458;2
5769.104670282571;48
5792.28123357703;99
