Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
224;12;11;14;13;5;10;7;14;8;3;12;4;14
225;12;11;14;13;5;10;8;14;11;3;13;4;14
226;12;11;14;14;5;10;8;14;12;3;14;4;14
227;12;11;14;14;5;10;8;14;12;3;14;4;14
228;12;12;14;14;5;10;8;14;12;3;14;4;14
229;14;12;14;14;5;10;10;14;12;3;14;6;14
230;14;12;14;14;5;13;10;14;12;3;14;6;14
231;14;14;14;14;5;14;12;14;14;3;14;8;14
232;14;14;14;14;5;14;14;14;14;3;14;11;14
233;14;14;14;14;5;14;14;14;14;3;14;11;14
234;14;14;14;14;5;14;14;14;14;3;14;11;14
235;14;14;14;14;5;14;14;14;14;3;14;11;14
236;14;14;14;14;5;14;14;14;14;3;14;11;14
237;14;14;14;14;5;14;14;14;14;3;14;11;14
238;14;14;14;14;5;14;14;14;14;3;14;11;14
239;1;1;1;1;1;1;1;1;1;1;1;1;1
