scenario;levy;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy;reroute_events;rerouted_requested;rerouted_fulfilled;rerouted_unmet;reroute_traveler_distance;mean_reroute_distance_per_traveler;receiving_destinations;peak_receiving_load
13_levy_on_flood_both_reroute;True;9;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83976612.0856558;79.56851628354727;79.56851628354727;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;10;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89154549.10360049;84.47465331021459;84.47465331021459;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;10;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852480.3943012;79.0417578702626;79.0417578702626;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;10;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83959961.86031556;79.55274006093951;79.55274006093951;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;11;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89149089.76456986;84.46948054251456;84.46948054251456;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;11;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852372.338752475;79.04134828347209;79.04134828347209;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;11;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83967106.54248442;79.55950970483647;79.55950970483647;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;12;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89155699.15105334;84.47574298943844;84.47574298943844;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;12;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20849988.236937642;79.03231129627332;79.03231129627332;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;12;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83963643.28294314;79.55622823852866;79.55622823852866;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;13;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;88992788.87120195;84.32138418722944;84.32138418722944;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;13;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20908061.11993012;79.25243775938577;79.25243775938577;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;13;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83983880.7180663;79.57540337129647;79.57540337129647;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;14;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89159316.5997273;84.4791705511913;84.4791705511913;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;14;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20850796.420027472;79.03537473097717;79.03537473097717;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;14;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83966230.07329026;79.55867924321609;79.55867924321609;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;15;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89043642.4765767;84.36956838788772;84.36956838788772;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;15;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20883432.24246335;79.15908149036962;79.15908149036962;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;15;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83997569.11980145;79.58837324218443;79.58837324218443;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;16;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89151433.97511853;84.47170170088927;84.47170170088927;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;16;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20853049.002749175;79.04391319233547;79.04391319233547;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;16;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83975972.69183148;79.56791045274917;79.56791045274917;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;17;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89150848.10599184;84.47114658517324;84.47114658517324;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;17;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852428.885025267;79.04156262328769;79.04156262328769;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;17;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83973421.69553843;79.56549336321625;79.56549336321625;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;18;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89040256.72221519;84.36636035836194;84.36636035836194;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;18;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20885584.023753703;79.16723786181923;79.16723786181923;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;18;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84022967.4295454;79.6124383452202;79.6124383452202;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;19;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89154365.88817774;84.47447971212596;84.47447971212596;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;19;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852049.029929873;79.04012277469855;79.04012277469855;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;19;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83963865.41865872;79.55643871390821;79.55643871390821;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;20;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89035212.20896842;84.36158064143302;84.36158064143302;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;20;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20889584.722136583;79.18240259171765;79.18240259171765;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;20;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84005361.69343819;79.59575676846521;79.59575676846521;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;21;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89118983.10419463;84.44095423933544;84.44095423933544;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;21;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20880503.703979842;79.14798080472694;79.14798080472694;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;21;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83879237.25512527;79.4762528473804;79.4762528473804;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;22;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89026498.13579679;84.35332398692134;84.35332398692134;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;22;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20881903.32288201;79.15328608910002;79.15328608910002;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;22;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84006318.48730733;79.59666333836206;79.59666333836206;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;23;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89028838.19177863;84.35554120881052;84.35554120881052;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;23;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20882487.710246783;79.15550122148309;79.15550122148309;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;23;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84005722.20576473;79.59609835679811;79.59609835679811;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;24;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89164986.62844087;84.4845429490628;84.4845429490628;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;24;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20852999.438739788;79.04372531893361;79.04372531893361;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;24;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83969481.09113252;79.56175960880473;79.56175960880473;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;25;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89034889.5959528;84.36127496300246;84.36127496300246;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;25;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20887047.726713408;79.17278605813677;79.17278605813677;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;25;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84011371.77975368;79.60145137365329;79.60145137365329;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;26;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89018514.55069624;84.34575947574022;84.34575947574022;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
