distance;frequency
2762.130477564679;270
2769.1389836507724;424
2777.7304266096994;394
2782.926830834655;100
2821.732828506659;5030
2827.0116742558043;700
2830.0504300378907;100
2847.879652928001;688
2853.8429529725636;594
2858.430127360123;224
2865.5868994032217;259
2874.70244597169;84
2892.9211194970376;100
2904.6667795427234;416
2913.780623885313;300
2948.042563075509;346
2954.3771454175962;1448
2994.5832832429246;42
3018.9759693285073;100
3044.3841758684666;1222
3053.6325267003426;500
3063.0627051063034;900
3069.137620674975;300
3094.2891276867886;298
3103.5367028693395;1000
3133.9140636068914;19217
3168.5505508621245;1166
3282.3039862773376;660
3282.55782374651;200
3303.0676535854636;495
3316.716472516772;5929
3327.5237326929187;417
3345.6396668415814;685
3347.3229031123906;814
3360.1973537705485;16484
3370.994877234514;316
3374.381926617997;789
3381.946441673242;1350
3396.669078255429;100
3398.856355156475;883
3423.15237057213;1640
3435.5497668774133;400
3497.484323739499;300
3514.6483655233665;200
3633.9733280877035;130
3656.616277587408;66
3659.087036893206;509
3716.9167817785305;236
3743.7193431773917;824
3755.283058462852;400
3795.4028175578796;617
3799.6502569092804;7723
3800.951686548206;200
3814.7254530662008;5973
3814.8559372124187;317
3847.661386210195;400
3848.486591611186;868
3860.7793257770936;365
3922.9259404114737;200
3961.1618209972116;14566
4108.769836755997;6430
4113.400536877585;724
4113.805937416744;405
4125.414643574993;200
4144.0537221313525;11030
4236.796959971458;168
4319.728376160015;5896
4368.059596662437;300
4466.707425812731;250
4492.0981796304095;4297
4541.847134382497;183
4616.726619311362;3062
4739.506386220381;300
4830.014062738714;238
4852.164781567429;3603
5401.144931421522;100
5450.454269062627;2485
5673.467938284811;2805
5769.104670282571;3898
5792.28123357703;3840
