code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,3,complete,all controlled performance artifacts are complete,277.25984829996014,4.951068719642145,256.16796875,1832,48b2e244f7329c368e46d286002bbc4de7bd81a3
A01,adaptation,stage4_13_levy_on_flood_pois,popular_times_v2/production/13_levy_on_flood_pois,4,complete,all controlled performance artifacts are complete,274.83473689999664,4.907763158928511,257.05078125,1833,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,0,complete,all controlled performance artifacts are complete,297.3985975999967,5.310689242857085,356.94140625,1863,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,1,complete,all controlled performance artifacts are complete,298.43570460000774,5.329209010714424,367.73046875,1871,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,2,complete,all controlled performance artifacts are complete,298.17835729999933,5.324613523214274,365.265625,1872,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,3,complete,all controlled performance artifacts are complete,297.4312349000247,5.311272051786156,356.8984375,1873,48b2e244f7329c368e46d286002bbc4de7bd81a3
A02,adaptation,stage4_13_levy_on_flood_homes,popular_times_v2/production/13_levy_on_flood_homes,4,complete,all controlled performance artifacts are complete,297.1704464999493,5.306615116070524,366.5859375,1875,48b2e244f7329c368e46d286002bbc4de7bd81a3
A03,adaptation,stage4_13_levy_on_flood_both,popular_times_v2/production/13_levy_on_flood_both,0,complete,all controlled performance artifacts are complete,281.13080829998944,5.020193005356954,302.5234375,1838,48b2e244f7329c368e46d286002bbc4de7bd81a3
A03,adaptation,stage4_13_levy_on_flood_both,popular_times_v2/production/13_levy_on_flood_both,1,complete,all controlled performance artifacts are complete,275.51024390000384,4.91982578392864,297.06640625,1836,48b2e244f7329c368e46d286002bbc4de7bd81a3
A03,adaptation,stage4_13_levy_on_flood_both,popular_times_v2/production/13_levy_on_flood_both,2,complete,all controlled performance artifacts are complete,276.9474829999963,4.945490767857076,300.7109375,1837,48b2e244f7329c368e46d286002bbc4de7bd81a3
A03,adaptation,stage4_13_levy_on_flood_both,popular_times_v2/production/13_levy_on_flood_both,3,complete,all controlled performance artifacts are complete,280.9996050000191,5.017850089286055,302.3203125,1837,48b2e244f7329c368e46d286002bbc4de7bd81a3
A03,adaptation,stage4_13_levy_on_flood_both,popular_times_v2/production/13_levy_on_flood_both,4,complete,all controlled performance artifacts are complete,276.8052076000022,4.942950135714325,300.83984375,1837,48b2e244f7329c368e46d286002bbc4de7bd81a3
