Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
202;14;14;14;14;14;14;14;14;14;13;13;13;13
203;14;14;14;14;14;14;14;14;14;13;13;13;13
204;14;14;14;14;14;14;14;14;14;13;13;13;13
205;14;14;14;14;14;14;14;14;14;13;13;13;13
206;14;14;14;14;14;14;14;14;14;13;13;13;13
207;14;14;14;14;14;14;14;14;14;13;13;13;13
208;14;14;14;14;14;14;14;14;14;13;13;13;13
209;14;14;14;14;14;14;14;14;14;13;13;13;13
210;14;14;14;14;14;14;14;14;14;13;13;13;13
211;14;14;14;14;14;14;14;14;14;13;13;13;13
212;14;14;14;14;14;14;14;14;14;13;13;13;13
213;14;14;14;14;14;14;14;14;14;13;13;13;13
214;1;1;1;1;1;1;1;1;1;1;1;1;1
215;1;1;1;1;1;1;1;1;1;1;1;1;1
216;1;1;1;1;1;1;1;1;1;1;1;1;1
217;1;1;1;1;1;1;1;1;1;1;1;1;1
218;1;1;1;1;1;1;1;1;1;1;1;1;1
219;1;1;1;1;1;1;1;1;1;1;1;1;1
220;14;14;14;14;14;14;14;14;14;13;13;13;13
221;14;14;14;14;14;14;14;14;14;13;13;13;13
222;14;14;14;14;14;14;14;14;14;13;13;13;13
223;14;14;14;14;14;14;14;14;14;13;13;13;13
224;14;14;14;14;14;14;14;14;14;13;13;13;13
225;14;14;14;14;14;14;14;14;14;13;13;13;13
226;14;14;14;14;14;14;14;14;14;13;13;13;13
227;14;14;14;14;14;14;14;14;14;13;13;13;13
228;14;14;14;14;14;14;14;14;14;13;13;13;13
229;14;14;14;14;14;14;14;14;14;13;13;13;13
230;14;14;14;14;14;14;14;14;14;13;13;13;13
231;14;14;14;14;14;14;14;14;14;13;13;13;13
232;14;14;14;14;14;14;14;14;14;13;13;13;13
233;14;14;14;14;14;14;14;14;14;13;13;13;13
234;14;14;14;14;14;14;14;14;14;13;13;13;13
235;14;14;14;14;14;14;14;14;14;13;13;13;13
236;14;14;14;14;14;14;14;14;14;13;13;13;13
237;14;14;14;14;14;14;14;14;14;13;13;13;13
238;1;1;1;1;1;1;1;1;1;1;1;1;1
239;1;1;1;1;1;1;1;1;1;1;1;1;1
