;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
151;Agronomia;Navegantes;0;0;0;0;0;0
152;Agronomia;Nonoai;0;0;0;0;0;0
153;Agronomia;Parque Santa Fé;0;0;0;0;0;0
154;Agronomia;Partenon;50;0;26;13;0;50
155;Agronomia;Passo D'Areia;0;0;0;0;0;0
156;Agronomia;Passo das Pedras;50;0;32;5;0;50
157;Agronomia;Pedra Redonda;0;0;0;0;0;0
158;Agronomia;Petrópolis;200;0;115;45;0;200
159;Agronomia;Pitinga;200;0;105;27;0;200
160;Agronomia;Ponta Grossa;0;0;0;0;0;0
161;Agronomia;Praia de Belas;0;0;0;0;0;0
162;Agronomia;Restinga;350;0;193;55;0;350
163;Agronomia;Rio Branco;150;0;77;44;0;150
164;Agronomia;Rubem Berta;0;0;0;0;0;0
165;Agronomia;Santa Cecília;0;0;0;0;0;0
166;Agronomia;Santa Maria Goretti;0;0;0;0;0;0
167;Agronomia;Santa Rosa de Lima;50;0;29;10;0;50
168;Agronomia;Santa Tereza;100;0;54;16;0;100
169;Agronomia;Santana;50;0;23;14;0;50
170;Agronomia;Santo Antônio;50;0;25;13;0;50
171;Agronomia;Sarandi;100;0;58;25;0;100
172;Agronomia;Serraria;0;0;0;0;0;0
173;Agronomia;São Caetano;0;0;0;0;0;0
174;Agronomia;São Geraldo;0;0;0;0;0;0
175;Agronomia;São José;2200;0;1264;364;0;2200
176;Agronomia;São João;0;0;0;0;0;0
177;Agronomia;São Sebastião;0;0;0;0;0;0
178;Agronomia;Sétimo Céu;0;0;0;0;0;0
179;Agronomia;Teresópolis;50;0;26;13;0;50
180;Agronomia;Tristeza;100;0;53;33;0;100
181;Agronomia;Três Figueiras;0;0;0;0;0;0
182;Agronomia;Vila Assunção;0;0;0;0;0;0
183;Agronomia;Vila Conceição;0;0;0;0;0;0
184;Agronomia;Vila Ipiranga;50;0;28;12;0;50
185;Agronomia;Vila Jardim;0;0;0;0;0;0
186;Agronomia;Vila João Pessoa;850;0;472;160;0;850
187;Agronomia;Vila Nova;550;0;289;102;0;550
188;Anchieta;Aberta dos Morros;50;0;31;3;0;50
189;Anchieta;Agronomia;0;0;0;0;0;0
190;Anchieta;Anchieta;200;0;112;26;0;200
191;Anchieta;Arquipélago;50;0;27;10;0;50
192;Anchieta;Auxiliadora;200;0;118;38;0;200
193;Anchieta;Azenha;0;0;0;0;0;0
194;Anchieta;Bela Vista;150;0;82;24;0;150
195;Anchieta;Belém Novo;50;0;30;10;0;50
196;Anchieta;Belém Velho;0;0;0;0;0;0
197;Anchieta;Boa Vista;50;0;30;12;0;50
198;Anchieta;Boa Vista do Sul;0;0;0;0;0;0
199;Anchieta;Bom Fim;100;0;53;16;0;100
200;Anchieta;Bom Jesus;100;0;50;23;0;100
201;Anchieta;Camaquã;0;0;0;0;0;0
202;Anchieta;Campo Novo;50;0;29;10;0;50
203;Anchieta;Cascata;100;0;48;16;0;100
204;Anchieta;Cavalhada;100;0;55;16;0;100
205;Anchieta;Cel. Aparício Borges;100;0;52;13;0;100
206;Anchieta;Centro Histórico;100;0;40;26;0;100
207;Anchieta;Chapéu do Sol;0;0;0;0;0;0
208;Anchieta;Chácara das Pedras;50;0;27;2;0;50
209;Anchieta;Cidade Baixa;50;0;25;8;0;50
210;Anchieta;Costa e Silva;50;0;34;7;0;50
211;Anchieta;Cristal;0;0;0;0;0;0
212;Anchieta;Cristo Redentor;50;0;24;16;0;50
213;Anchieta;Espírito Santo;0;0;0;0;0;0
214;Anchieta;Extrema;0;0;0;0;0;0
215;Anchieta;Farrapos;200;0;114;22;0;200
216;Anchieta;Farroupilha;0;0;0;0;0;0
217;Anchieta;Floresta;50;0;26;11;0;50
218;Anchieta;Glória;50;0;28;10;0;50
219;Anchieta;Guarujá;0;0;0;0;0;0
220;Anchieta;Higienópolis;50;0;29;5;0;50
221;Anchieta;Humaitá;150;0;99;18;0;150
222;Anchieta;Hípica;0;0;0;0;0;0
