"node_name","lat","long","water_level"
"Anchieta//home_5",-29.989756070132486,-51.160071631301314,""
"Anchieta//work_5",-29.99563636194096,-51.148483289276506,""
"Anchieta//school_5",-29.99583619047155,-51.16769121472479,""
"Anchieta//marketplace_0",-29.98405531284171,-51.1559834970456,""
"Anchieta//restaurant_0",-29.98344854671773,-51.15680882149796,""
"Anchieta//pharmacy_0",-29.982704396034872,-51.15686711888772,""
"Anchieta//marketplace_1",-29.971370472124885,-51.152731634467436,""
"Anchieta//restaurant_1",-29.97106113396336,-51.15746213414645,""
"Anchieta//pharmacy_1",-29.970501158498617,-51.15774064382582,""
"Anchieta//marketplace_2",-29.98516016045719,-51.15378283684256,""
"Anchieta//restaurant_2",-29.985941101561355,-51.155104574031036,""
"Anchieta//pharmacy_2",-29.985797514612344,-51.15611296012388,""
"Anchieta//marketplace_3",-29.967507197730388,-51.17157321784955,""
"Anchieta//restaurant_3",-29.969252041467424,-51.17190112578833,""
"Anchieta//pharmacy_3",-29.968954690458876,-51.17043071955929,""
"Anchieta//marketplace_4",-29.968392423257388,-51.17220382252523,""
"Anchieta//restaurant_4",-29.966562525267072,-51.168188674859856,""
"Anchieta//pharmacy_4",-29.96825781363269,-51.1705699491416,""
"Anchieta//marketplace_5",-29.989967818133024,-51.158560025526235,""
"Anchieta//restaurant_5",-29.989891808821326,-51.15950729755384,""
"Anchieta//pharmacy_5",-29.98900889740799,-51.1600891263374,""
"Arquipélago//home_0",-30.016092718670354,-51.25839943343015,""
"Arquipélago//work_0",-30.015619354711205,-51.25792512458527,""
"Arquipélago//school_0",-30.012433702343948,-51.2620567835148,""
"Arquipélago//home_1",-30.01896885027492,-51.25731182886809,""
"Arquipélago//work_1",-30.02102292077598,-51.25621319456087,""
"Arquipélago//school_1",-30.021857144596982,-51.255962469694445,""
"Arquipélago//home_2",-30.0304160741169,-51.25194188847647,""
"Arquipélago//work_2",-30.02831070408233,-51.252012969039676,""
"Arquipélago//school_2",-30.03040558466483,-51.25331223771848,""
"Arquipélago//home_3",-29.987871035094066,-51.225736482306736,""
"Arquipélago//work_3",-29.987689321038584,-51.224281460506475,""
"Arquipélago//school_3",-29.989512532481708,-51.224426557297086,""
"Arquipélago//home_4",-29.964548727894773,-51.23204325088817,""
"Arquipélago//work_4",-29.963643824904224,-51.23175954920582,""
"Arquipélago//school_4",-29.97340923630136,-51.22819967150398,""
"Arquipélago//home_5",-29.99400232499197,-51.22120499732744,""
"Arquipélago//work_5",-29.993831823957954,-51.22197624265407,""
"Arquipélago//school_5",-29.992701936342588,-51.217966191028246,""
"Arquipélago//home_6",-30.016959023753067,-51.263904631332174,""
"Arquipélago//work_6",-30.013934303940324,-51.26226668583924,""
"Arquipélago//school_6",-30.01511334084994,-51.25969108547778,""
"Arquipélago//home_7",-30.020795267422624,-51.258832731996115,""
"Arquipélago//work_7",-30.017492365739674,-51.25989750373699,""
"Arquipélago//school_7",-30.016494638086208,-51.26045777406566,""
"Arquipélago//home_8",-30.008110133075235,-51.225689442717425,""
"Arquipélago//work_8",-30.00187142797123,-51.223610345808694,""
"Arquipélago//school_8",-30.002002705587195,-51.2233467246483,""
"Arquipélago//home_9",-29.948060239252964,-51.24535319936427,""
"Arquipélago//work_9",-29.987328937368165,-51.23209885553442,""
"Arquipélago//school_9",-29.941916758360577,-51.25342134675194,""
"Arquipélago//home_10",-29.990638094799966,-51.215091678805,""
"Arquipélago//work_10",-29.991175971519002,-51.21560959772391,""
"Arquipélago//school_10",-29.998903830449997,-51.21463869856039,""
"Arquipélago//home_11",-29.972133266174698,-51.267140374509594,""
"Arquipélago//work_11",-29.968277170398704,-51.280131452928536,""
"Arquipélago//school_11",-29.964758347902052,-51.274144994370246,""
"Arquipélago//home_12",-29.985534878239733,-51.24199705439882,""
"Arquipélago//work_12",-29.987127933744684,-51.25685115596879,""
"Arquipélago//school_12",-29.98774940026131,-51.266066455871155,""
"Arquipélago//home_13",-29.987103658642244,-51.24916467069444,""
"Arquipélago//work_13",-29.986967468112432,-51.25363782010316,""
"Arquipélago//school_13",-29.993605121498927,-51.25631150272739,""
"Arquipélago//home_14",-30.01276472236906,-51.22596282608916,""
"Arquipélago//work_14",-30.016232496606275,-51.22616174461595,""
"Arquipélago//school_14",-30.01963583796649,-51.23054314873396,""
"Arquipélago//home_15",-30.020124351935767,-51.24365746124479,""
"Arquipélago//work_15",-30.013060844750658,-51.249248660867394,""
"Arquipélago//school_15",-30.013311557774045,-51.24770213618477,""
"Arquipélago//home_16",-30.028065801400846,-51.254883885137524,""
"Arquipélago//work_16",-30.02393950750036,-51.264525203669564,""
"Arquipélago//school_16",-30.034485933822218,-51.25631755225229,""
"Arquipélago//marketplace_0",-30.01734375262496,-51.2595955820583,""
"Arquipélago//restaurant_0",-30.016077326093274,-51.258686594633424,""
"Arquipélago//pharmacy_0",-30.01725108102201,-51.25821713572367,""
"Arquipélago//marketplace_1",-30.017872013850987,-51.25548368464225,""
"Arquipélago//restaurant_1",-30.01862410940618,-51.25656211856267,""
"Arquipélago//pharmacy_1",-30.019336262269086,-51.25755880609334,""
"Arquipélago//marketplace_2",-30.031515765054216,-51.25233680035497,""
"Arquipélago//restaurant_2",-30.030595402232553,-51.25061616815894,""
"Arquipélago//pharmacy_2",-30.030622702214945,-51.251407520034824,""
"Arquipélago//marketplace_3",-29.987389086787267,-51.226087678764216,""
"Arquipélago//restaurant_3",-29.988031918123824,-51.22579882688989,""
"Arquipélago//pharmacy_3",-29.98748215998704,-51.22556261281891,""
"Arquipélago//marketplace_4",-29.96460485236929,-51.232266735803925,""
"Arquipélago//restaurant_4",-29.966954419465164,-51.231090247448904,""
"Arquipélago//pharmacy_4",-29.963927369713033,-51.23151103264751,""
"Arquipélago//marketplace_5",-29.994451860334106,-51.22187664200629,""
"Arquipélago//restaurant_5",-29.9944420287667,-51.21788390925672,""
"Arquipélago//pharmacy_5",-29.99337972701983,-51.22158425867311,""
"Arquipélago//marketplace_6",-30.01763955501237,-51.262552145521184,""
"Arquipélago//restaurant_6",-30.016929583379326,-51.26334166946754,""
"Arquipélago//pharmacy_6",-30.017129621917896,-51.26469632116337,""
"Arquipélago//marketplace_7",-30.02172005705349,-51.257298914906215,""
"Arquipélago//restaurant_7",-30.021169564576013,-51.259016177739035,""
"Arquipélago//pharmacy_7",-30.02077176650763,-51.25784489819794,""
"Arquipélago//marketplace_8",-30.00936116702984,-51.22688559134558,""
"Arquipélago//restaurant_8",-30.008145425081505,-51.225770229699734,""
"Arquipélago//pharmacy_8",-30.008442951175763,-51.225780354526265,""
"Arquipélago//marketplace_9",-29.94760511135823,-51.245189174120334,""
"Arquipélago//restaurant_9",-29.948259401571622,-51.245547034658756,""
"Arquipélago//pharmacy_9",-29.948307152268153,-51.24557361420217,""
"Arquipélago//marketplace_10",-29.990580263666317,-51.215909823832426,""
"Arquipélago//restaurant_10",-29.991348229801726,-51.215089506544864,""
"Arquipélago//pharmacy_10",-29.990850669466628,-51.21728211094875,""
"Arquipélago//marketplace_11",-29.973164293283226,-51.26681626250948,""
"Arquipélago//restaurant_11",-29.971454635108135,-51.26649091223399,""
"Arquipélago//pharmacy_11",-29.972151915162627,-51.266498455049984,""
"Arquipélago//marketplace_12",-29.98459003900511,-51.243950389130234,""
"Arquipélago//restaurant_12",-29.985262731345458,-51.24162422865055,""
"Arquipélago//pharmacy_12",-29.985344062022964,-51.24141221527141,""
"Arquipélago//marketplace_13",-29.987020068008142,-51.24991681785228,""
"Arquipélago//restaurant_13",-29.986277650786025,-51.248996594206105,""
"Arquipélago//pharmacy_13",-29.986928736212874,-51.248009761519015,""
"Arquipélago//marketplace_14",-30.012562961983495,-51.225714758107614,""
"Arquipélago//restaurant_14",-30.013388200366002,-51.224411083843236,""
"Arquipélago//pharmacy_14",-30.012397239079313,-51.226909366079866,""
"Arquipélago//marketplace_15",-30.017690017630997,-51.243968499993755,""
"Arquipélago//restaurant_15",-30.018882078374407,-51.242433525161985,""
"Arquipélago//pharmacy_15",-30.021475513727687,-51.243563201899676,""
"Arquipélago//marketplace_16",-30.02778065338414,-51.254392224852054,""
"Arquipélago//restaurant_16",-30.02710592677228,-51.2541912233112,""
"Arquipélago//pharmacy_16",-30.028193948991778,-51.25495666618632,""
"Auxiliadora//home_0",-30.019191818911473,-51.19597351223342,""
"Auxiliadora//work_0",-30.018852435019802,-51.19630542846147,""
"Auxiliadora//school_0",-30.019433092834465,-51.19697228327445,""
"Auxiliadora//home_1",-30.022263982141123,-51.19637681956661,""
"Auxiliadora//work_1",-30.02007338689029,-51.196827636661716,""
"Auxiliadora//school_1",-30.020240255933235,-51.196652193895396,""
"Auxiliadora//home_2",-30.02380879494462,-51.195748839875684,""
"Auxiliadora//work_2",-30.024064981085196,-51.195467619652455,""
"Auxiliadora//school_2",-30.024465362931995,-51.19611779354257,""
"Auxiliadora//home_3",-30.02330315195978,-51.194154830005836,""
"Auxiliadora//work_3",-30.024546633454804,-51.1938104554163,""
"Auxiliadora//school_3",-30.02439974424662,-51.19402101854728,""
"Auxiliadora//home_4",-30.02363724391499,-51.193296131778716,""
"Auxiliadora//work_4",-30.023174419138435,-51.19336068886861,""
"Auxiliadora//school_4",-30.023382372072664,-51.19277145997525,""
"Auxiliadora//home_5",-30.02296733828652,-51.19500335564548,""
"Auxiliadora//work_5",-30.020878186249817,-51.19493761972619,""
"Auxiliadora//school_5",-30.022247886229895,-51.19440779034239,""
"Auxiliadora//home_6",-30.01798207025933,-51.19706483340934,""
"Auxiliadora//work_6",-30.018051468573084,-51.19706129879344,""
"Auxiliadora//school_6",-30.017868742017185,-51.195968614262966,""
"Auxiliadora//home_7",-30.019459097643466,-51.19137204824307,""
"Auxiliadora//work_7",-30.01775774884004,-51.193086286230276,""
"Auxiliadora//school_7",-30.018532264754946,-51.19421273713494,""
