order,id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople
7,54585c9d-843d-43fd-81b4-f43a8001bfe2,-30.007642869823126,-51.167620248064175,Cf Vikings,Passo d'Areia,"Rua Visconde De Pelotas, 473",,,
70,792ef61b-0f2d-4b0f-9f10-41bbe3327bdf,-30.00996886488961,-51.169619832719846,Instituto São Francisco - Pallotti,Passo d'Areia,"R. Tupi, 212 - Passo D'areia, Porto Alegre - Rs, 90010-090",Sim,72.0,70.0
100,f5205195-2cf2-4a39-8e30-7761bc63c40d,-30.01042931801456,-51.173909048063905,EEEF Gonçalves Dias - IAPI [EVACUADO],Passo DAreia,"R. Candiota, 145 - Passo d'Areia, Porto Alegre - RS, 91030-020",Sim,,
8,91c428ab-68f5-4a49-9c78-cade2c4e5b98,-30.03291959622577,-51.121665732718945,Uniritter - Campus Fapa,Passo Das Pedras,"Av. Manoel Elias, 2001 - Passo Das Pedras, Porto Alegre",,,
45,fbe32f25-fa62-422d-823d-f388000f47d4,-30.03291959622577,-51.12167646155497,Fapa,Passo das Pedras,"Av. Manoel Elias, 2001 - Passo Das Pedras, Porto Alegre - Rs, 91240-261",,,
18,b81b4e5c-798f-413d-a7cd-7ce1cfd397ee,-30.128947667420714,-51.24303627504269,Morro Do Sabiá,Pedra Redonda,"Rua Ney Castilhos Ferreira, 301 - Pedra Redonda",Sim,142,142
114,942565ba-f6ac-46f3-bea2-09cea520ca0a,-30.123686638732366,-51.245754588534815,AABB,Pedra Redonda,"Av. Cel. Marcos, 1000 - Pedra Redonda, Porto Alegre - RS, 91760-000",Sim,120.0,
10,7f21ccc7-d1de-4a23-b710-260761213000,-30.04899718536861,-51.19550270388218,Simers,Petropólis,"Rua Coronel Corte Real, 975 - Petrópolis, Porto Alegre",Não,,
85,98c04b11-66df-400c-bc31-cfc0c1ad52f3,-30.04134887389941,-51.149147661554586,SESCRS,Petrópolis,"Av. Protásio Alves, 6220 - Petrópolis, Porto Alegre - RS, 91310-001",Sim,175.0,
88,573f4bb7-cf57-484b-a95a-d8829c1f406a,-30.040227096895517,-51.18353956155456,PetMedic Poa,Petrópolis,"R. Carazinho, 335 - Petrópolis, Porto Alegre",,,
16,80386665-d935-4a8f-851d-b20d847c7ad3,-30.042843626481346,-51.22490108853842,Oab,Praia de Belas,Aureliano Figueredo Pinto 620,Sim,62.0,
94,124c9a46-72b6-4c16-b46a-4fa3be7cdc31,-30.064463837793717,-51.23389454620953,Gigantinho,Praia de Belas,"Avenida Padre Cacique, 891 Ao lado do estádio Beira-Rio - Praia de Belas, Porto Alegre - RS, 90810-240",,,
21,765a9b71-222f-425d-8eed-4ff5b8559d9f,-30.14605886634169,-51.14457024029331,Igreja Casa Church Rerstinga,Restinga,"Av. Ignês E Fagundes, 1248-1210 - Restinga, Porto Alegre",Sim,60,0
75,eb98c8bb-aa91-4de1-af23-49d4e3a876ac,-30.152390940674852,-51.152096675041626,21 Bpm,Restinga,"R. Gov Peracchi Barcellos, 4600 - Restinga, Porto Alegre",Sim,,
36,4f9d5e9b-43eb-4ba7-919b-4be27e988a79,-30.029045766746247,-51.19916063271899,Caixeiros Viajantes,Rio Banco,"Rua Dona Laura, 646 - Rio Branco, Porto Alegre",Sim,60.0,
51,0cbf3209-453d-40c6-85ee-060b8a8ae9cb,-30.033771621215575,-51.19713677504685,Ipa - Centro Universitário Metodista,Rio Banco,"Rua Coronel Joaquim Pedro Salgado, 80 - Rio Branco, Porto Alegre - Rs, 90420-060",Sim,150.0,137.0
26,98bcdaf6-7dc8-405e-a919-f4330bfd4e4b,-30.03549481018891,-51.11651448846388,Escola Victor Isler,Rubem Berta,"R. Dezenove De Fevereiro, 330 - Mário Quintana, Porto Alegre",,,
98,988aa603-63dc-4fff-85d6-9671b4640a2b,-30.024178405180372,-51.103498813343506,Escola Grande Oriente,Rubem Berta,"R. Wolfram Metzler, 600",Sim,260.0,
63,7dfb239b-1151-4d6c-8bbb-52e3306ff422,-29.993416602081876,-51.10878834621249,Igreja Impactando Gerações,Santa Rosa de Lima,"Bernardino Silveira Amorim, 1479",,,
64,d036b8ca-85d1-449f-b032-922497874543,-29.990558213175365,-51.099576432720745,Mevam,Santa Rosa de Lima,"Ernardino Silveira Pastoriza, 880 – Santa Rosa De Lima",,30.0,
29,a310934f-0b7c-44a2-9b2e-0b240eb6edee,-30.084448755052044,-51.22894193271674,Emef Martim Aranha,Santa Tereza,"R. Cônego Paulo Isidoro De Nadal, 1 - Santa Tereza, Porto Alegre",,,
30,5daec969-8869-4121-bafc-1425731e6487,-30.04652414283923,-51.20432672682921,Cremers,Santana,"Rua Bernardo Pires, 415 - Santana, Porto Alegre",Sim,,
34,bd446650-d778-439b-b343-fa7c62959584,-30.04570505472974,-51.20538280388235,Clinica Vet Hug,Santana,"R. São Luís, 316 - Santana, Porto Alegre",,,
52,7f67759c-0aec-4f78-b2ed-a7b386ff87ed,-30.043979290533883,-51.21278426155442,Colégio Júlio De Castilhos,Santana,"Av. Piratini, 76 - Santana, Porto Alegre - Rs, 90040-160",Sim,100.0,
86,c0ee062d-9de5-49b5-bc22-f274a52b039e,-30.041756362029307,-51.207768161554526,RUs UFRGS,Santana,"R. Ramiro Barcelos, 2500 - Santana, Porto Alegre - RS, 90035-003",,,
5,b86e6275-e274-4091-b36a-346a2f6d25a7,-30.055020008127748,-51.201015590390114,Geraldo Santana,Santo Antônio,"Grêmio Geraldo Santana, Rua Luiz De Camões, 337",Sim,100.0,100.0
33,9791431f-042e-43e4-8c8d-05c50bd2db01,-30.05812110632958,-51.20079354031784,Colégio Rainha Do Brasil,Santo Antônio,"R. Paulino Chaves, 262 - Santo Antônio, Porto Alegre",Sim,150.0,
24,e57048e9-f927-4f68-b680-975504367292,-30.00621454870518,-51.184357403884,Estacionamento Bourbon Assis Brasil,São João,"Av. Assis Brasil, 164 - São João, Porto Alegre",,,
84,cde9c9b1-81e4-403a-b4d9-6a7e9073aff2,-30.009550064105216,-51.18805626155594,Sogipa,São João,"R. Barão do Cotegipe, 415 - São João, Porto Alegre - RS, 90540-020",Sim,460.0,
108,e8de6533-d059-4a9a-b2d4-e293a68a5325,-30.013261051426923,-51.18316193271975,Clínica Ametista,São João,"R. Portugal, 544 - São João, Porto Alegre - RS, 90520-310",Sim,,
73,5577f295-484a-41bf-8b11-5848f060ee9e,-30.066753026831133,-51.16967319038948,Igreja Deus É Amor,São José,"Rua Padre Cornélio, 33 - Partenon Porto Alegre - Rs, 91520-624",Sim,114.0,150.0
62,c0d8f35c-18cd-4707-9f2c-5f709d70ef6c,-30.015424165088984,-51.10966860388362,Aliança Cristã De Porto Alegre,São Sebastião,"Av. Baltazar De Oliveira Garcia, 3580",Sim,70.0,
43,c2e7b07a-6424-4a5b-8289-35e148954deb,-30.006194557822145,-51.13849016155603,Abba Igreja,Sarandi,"R. Dona Alzira, 420 - Sarandi, Porto Alegre - Rs, 91110-010 - Jardim Itu",Sim,100.0,
59,4a6bde72-e52a-4c92-9665-45a20133d1b5,-29.99109399086913,-51.10080353272074,Igreja Betel,Sarandi,"AV. Bernadino Silveira Pastoriza, 771 - Bairro Santa Rosa",,,
74,cece28cb-c379-4eda-a3bd-16856a825b82,-29.99547722960944,-51.126996603884514,Colégio Kennedy,Sarandi,"Av. Alcídes São Severiano, 99 - Sarandi, Porto Alegre - Rs, 91130-500",Sim,180.0,100.0
90,b818a598-5d62-46cf-867c-ece997cb5856,-29.993202001760533,-51.11881210388468,Igreja Batista do Passo da Areia,Sarandi,"Av. Francisco Silveira Bitencourt, 1135 - Sarandi, Porto Alegre - RS, 91150-010",Sim,110.0,110.0
91,0e422650-b93e-45fb-a8e7-fcf705047ef5,-30.00752339538935,-51.137970890392,Igreja Batista Braza - ZN,Sarandi,"Rua Dona Alzira, 275",Sim,20.0,188.0
106,d4b86f11-de90-46cd-b0d6-a8cf4c1e8bd7,-29.99589833035823,-51.12563943272054,Colégio Luterano da Paz,Sarandi,"Av. Alcídes São Severiano, 100 - Sarandi, Porto Alegre - RS, 91130-500",Sim,115.0,
