Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
359;28;29;31;28;16;28;28;29;28;16;29;28;28
360;28;29;31;28;16;28;28;29;28;16;29;28;28
361;28;29;31;28;16;28;28;29;28;16;29;28;28
362;28;29;31;28;16;28;28;29;28;16;29;28;28
363;28;29;31;28;16;28;28;29;28;16;29;28;28
364;28;29;31;28;16;28;28;29;28;16;29;28;28
365;28;29;31;28;16;28;28;29;28;16;29;28;28
366;28;29;31;28;16;28;28;29;28;16;29;28;28
367;28;29;31;28;16;28;28;29;28;16;29;28;28
368;39;40;42;39;21;39;39;40;39;20;40;38;39
369;39;40;42;39;21;39;39;40;39;20;40;38;39
370;39;40;42;39;21;39;39;40;39;21;40;38;39
371;39;40;42;39;21;39;39;40;39;21;40;38;39
372;39;40;42;39;21;39;39;40;39;21;40;38;39
373;39;40;42;39;21;39;39;40;39;21;40;38;39
374;39;40;42;39;21;39;39;40;39;21;40;38;39
375;39;40;42;39;21;39;39;40;39;21;40;38;39
376;39;40;42;39;21;39;39;40;39;21;40;38;39
377;39;40;42;39;21;39;39;40;39;21;40;38;39
378;39;40;42;39;21;39;39;40;39;21;40;38;39
379;39;40;42;39;21;39;39;40;39;21;40;38;39
380;39;40;42;39;21;39;39;40;39;21;40;38;39
381;39;40;42;39;21;39;39;40;39;21;40;38;39
382;39;40;42;39;21;39;39;40;39;21;40;38;39
383;39;40;42;39;21;39;39;40;39;21;40;38;39
384;39;40;42;39;21;39;39;40;39;21;40;38;39
385;39;40;42;39;21;39;39;40;39;21;40;38;39
386;39;40;42;39;21;39;39;40;39;21;40;38;39
387;39;40;42;39;21;39;39;40;39;21;40;38;39
388;39;40;42;39;21;39;39;40;39;21;40;38;39
389;39;40;42;39;21;39;39;40;39;21;40;38;39
390;39;40;42;39;21;39;39;40;39;21;40;38;39
391;39;40;42;39;21;39;39;40;39;21;40;38;39
392;38;39;41;38;20;38;38;39;38;22;39;37;38
393;38;39;41;38;20;38;38;39;38;22;39;37;38
394;38;39;41;38;20;38;38;39;38;22;39;37;38
395;38;39;41;38;20;38;38;39;38;22;39;37;38
396;38;39;41;38;21;38;38;39;38;24;39;37;38
397;38;39;41;38;21;38;38;39;38;24;39;37;38
398;38;39;41;38;21;38;38;39;38;24;39;37;38
399;38;39;41;38;21;38;38;39;38;24;39;37;38
400;38;39;41;38;21;38;38;39;38;24;39;37;38
401;38;39;41;38;21;38;38;39;38;24;39;37;38
402;38;39;41;38;21;38;38;39;38;24;39;37;38
403;38;39;41;38;21;38;38;39;38;24;39;37;38
404;38;39;41;38;21;38;38;39;38;24;39;37;38
405;38;39;41;38;21;38;38;39;38;24;39;37;38
406;38;39;41;38;21;38;38;39;38;24;39;37;38
407;38;39;41;38;21;38;38;39;38;24;39;37;38
408;38;39;41;38;21;38;38;39;38;24;39;37;38
409;38;39;41;38;21;38;38;39;38;24;39;37;38
410;38;39;41;38;21;38;38;39;38;24;39;37;38
411;38;39;41;38;21;38;38;39;38;24;39;37;38
412;38;39;41;38;21;38;38;39;38;24;39;37;38
413;38;39;41;38;21;38;38;39;38;24;39;37;38
414;38;39;41;38;21;38;38;39;38;24;39;37;38
415;38;39;41;38;21;38;38;39;38;24;39;37;38
416;47;47;47;47;24;47;46;47;47;28;47;43;47
417;47;47;47;47;24;47;46;47;47;28;47;43;47
418;47;47;47;47;24;47;46;47;47;28;47;43;47
419;47;47;47;47;24;47;46;47;47;28;47;43;47
420;47;47;47;47;25;47;46;47;47;28;47;43;47
421;47;47;47;47;25;47;46;47;47;28;47;43;47
422;47;47;47;47;25;47;46;47;47;28;47;43;47
423;47;47;47;47;25;47;46;47;47;28;47;43;47
424;47;47;47;47;25;47;46;47;47;28;47;43;47
425;47;47;47;47;25;47;46;47;47;28;47;43;47
426;47;47;47;47;25;47;46;47;47;28;47;43;47
427;47;47;47;47;25;47;46;47;47;28;47;43;47
428;47;47;47;47;25;47;46;47;47;28;47;43;47
429;47;47;47;47;25;47;46;47;47;28;47;43;47
430;47;47;47;47;25;47;46;47;47;28;47;43;47
431;47;47;47;47;25;47;46;47;47;28;47;43;47
432;47;47;47;47;25;47;46;47;47;28;47;43;47
433;47;47;47;47;25;47;46;47;47;28;47;43;47
434;47;47;47;47;25;47;46;47;47;28;47;43;47
435;47;47;47;47;25;47;46;47;47;28;47;43;47
436;47;47;47;47;25;47;46;47;47;28;47;43;47
437;47;47;47;47;25;47;46;47;47;28;47;43;47
438;47;47;47;47;25;47;46;47;47;28;47;43;47
439;47;47;47;47;25;47;46;47;47;28;47;43;47
440;47;47;47;47;26;47;46;47;47;34;47;44;47
441;47;47;47;47;26;47;46;47;47;34;47;44;47
442;47;47;47;47;26;47;46;47;47;34;47;44;47
443;47;47;47;47;26;47;46;47;47;34;47;44;47
444;47;47;47;47;26;47;46;47;47;34;47;44;47
445;47;47;47;47;26;47;46;47;47;34;47;44;47
446;47;47;47;47;26;47;46;47;47;34;47;44;47
447;47;47;47;47;26;47;46;47;47;34;47;44;47
448;47;47;47;47;26;47;46;47;47;34;47;44;47
449;47;47;47;47;26;47;46;47;47;34;47;44;47
450;47;47;47;47;26;47;46;47;47;34;47;44;47
451;47;47;47;47;26;47;46;47;47;34;47;44;47
452;47;47;47;47;26;47;46;47;47;34;47;44;47
453;47;47;47;47;26;47;46;47;47;34;47;44;47
454;47;47;47;47;26;47;46;47;47;34;47;44;47
455;47;47;47;47;26;47;46;47;47;34;47;44;47
456;47;47;47;47;26;47;46;47;47;34;47;44;47
457;47;47;47;47;26;47;46;47;47;34;47;44;47
458;47;47;47;47;26;47;46;47;47;34;47;44;47
459;47;47;47;47;26;47;46;47;47;34;47;44;47
460;47;47;47;47;26;47;46;47;47;34;47;44;47
461;47;47;47;47;26;47;46;47;47;34;47;44;47
462;47;47;47;47;26;47;46;47;47;34;47;44;47
463;47;47;47;47;26;47;46;47;47;34;47;44;47
464;36;36;36;36;20;36;35;36;36;26;36;33;36
465;36;36;36;36;20;36;35;36;36;26;36;33;36
466;36;36;36;36;20;36;35;36;36;26;36;33;36
467;36;36;36;36;20;36;35;36;36;26;36;33;36
468;36;36;36;36;20;36;35;36;36;26;36;33;36
469;36;36;36;36;20;36;35;36;36;26;36;33;36
470;36;36;36;36;20;36;35;36;36;26;36;33;36
471;36;36;36;36;20;36;35;36;36;26;36;33;36
472;36;36;36;36;20;36;35;36;36;26;36;33;36
473;36;36;36;36;20;36;35;36;36;26;36;33;36
474;36;36;36;36;20;36;35;36;36;26;36;33;36
475;36;36;36;36;20;36;35;36;36;26;36;33;36
476;36;36;36;36;20;36;35;36;36;26;36;33;36
477;36;36;36;36;20;36;35;36;36;26;36;33;36
478;36;36;36;36;20;36;35;36;36;26;36;33;36
479;36;36;36;36;20;36;35;36;36;26;36;33;36
480;36;36;36;36;20;36;35;36;36;26;36;33;36
481;36;36;36;36;20;36;35;36;36;26;36;33;36
482;36;36;36;36;20;36;35;36;36;26;36;33;36
483;36;36;36;36;20;36;35;36;36;26;36;33;36
484;36;36;36;36;20;36;35;36;36;26;36;33;36
485;36;36;36;36;20;36;35;36;36;26;36;33;36
486;36;36;36;36;20;36;35;36;36;26;36;33;36
487;36;36;36;36;20;36;35;36;36;26;36;33;36
488;36;36;36;36;18;36;34;36;36;27;36;31;36
489;36;36;36;36;18;36;34;36;36;27;36;31;36
