;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
202;Anchieta;Campo Novo;50;0;0;0;50;0
203;Anchieta;Cascata;74;0;37;7;0;74
204;Anchieta;Cavalhada;186;50;47;16;100;86
205;Anchieta;Cel. Aparício Borges;132;0;44;14;50;82
206;Anchieta;Centro Histórico;44;0;21;8;0;44
207;Anchieta;Chapéu do Sol;0;0;0;0;0;0
208;Anchieta;Chácara das Pedras;0;0;0;0;0;0
209;Anchieta;Cidade Baixa;75;0;39;16;0;75
210;Anchieta;Costa e Silva;24;0;12;6;0;24
211;Anchieta;Cristal;102;50;29;9;50;52
212;Anchieta;Cristo Redentor;206;50;34;13;150;56
213;Anchieta;Espírito Santo;0;0;0;0;0;0
214;Anchieta;Extrema;0;0;0;0;0;0
215;Anchieta;Farrapos;4134;650;1678;746;1050;3084
216;Anchieta;Farroupilha;0;0;0;0;0;0
217;Anchieta;Floresta;50;0;0;0;50;0
218;Anchieta;Glória;24;0;17;3;0;24
219;Anchieta;Guarujá;24;0;11;6;0;24
220;Anchieta;Higienópolis;55;0;40;6;0;55
221;Anchieta;Humaitá;497;200;39;12;431;66
222;Anchieta;Hípica;0;0;0;0;0;0
223;Anchieta;Independência;0;0;0;0;0;0
224;Anchieta;Ipanema;40;0;26;8;0;40
225;Anchieta;Jardim Botânico;25;0;14;4;0;25
226;Anchieta;Jardim Carvalho;74;0;15;3;50;24
227;Anchieta;Jardim Europa;0;0;0;0;0;0
228;Anchieta;Jardim Floresta;0;0;0;0;0;0
229;Anchieta;Jardim Isabel;0;0;0;0;0;0
230;Anchieta;Jardim Itú;168;100;9;4;150;18
231;Anchieta;Jardim Leopoldina;171;50;52;10;100;71
232;Anchieta;Jardim Lindóia;74;50;14;7;50;24
233;Anchieta;Jardim Sabará;10;0;2;6;0;10
234;Anchieta;Jardim São Pedro;400;50;170;36;100;300
235;Anchieta;Jardim do Salso;0;0;0;0;0;0
236;Anchieta;Lageado;0;0;0;0;0;0
237;Anchieta;Lami;0;0;0;0;0;0
238;Anchieta;Lomba do Pinheiro;122;0;68;20;0;122
239;Anchieta;Medianeira;0;0;0;0;0;0
240;Anchieta;Menino Deus;85;0;20;11;50;35
241;Anchieta;Moinhos de Vento;18;0;7;8;0;18
242;Anchieta;Mont'Serrat;52;0;35;15;0;52
243;Anchieta;Morro Santana;51;0;37;9;0;51
